pickup_flag,user,text
0,r-isahai,"@yano 
されています。"
0,yano,"@r-isahai 
ありがとう、取りに戻ります :face_with_rolling_eyes:  "
1,r-isahai,"@channel 
AIビジネス事業部　各位
#### 緊急連絡網の変更について
メンバー構成変更と各案件参画状況により、緊急連絡網を見直し、更新いたしました。
ご確認よろしくお願い致します。
\\jbdtkfs2020\プロジェクト\JBD\AIビジネス研究室\99_個人\yano\緊急連絡網\緊急連絡網（46期_AIビジネス研究室）_202501.xlsx

特に@r-kinoshita さん、@r-asanoma さんは、伝達先を変更しておりますので、ご確認よろしくお願い致します。"
1,yano,"@channel 
衛生委員会から1月1日～16日までの勤怠の中間集計を、17日(金)14時～に作成する旨、連絡がありました。
期限に間に合うように、Zaionの申請および承認を済ませてください。
くれぐれも、直前に承認して下さい、とならないように17日の朝一には承認依頼を行うようにして下さい。"
0,r-asanoma,"@yano (cc: @channel )
湿度計付きの時計が到着しました。
窓側のデスクに置いておきます。"
0,at-yoshida,"@yano 
お疲れ様です。
昨日(1/16)分の残業申請をzaionにて行っています。
お手すきの際にご確認よろしくお願いいたします。"
1,yano,"@channel 
AICの室内に、以下の加湿器を2台購入しようと思います。
タンク容量が小さすぎず大きすぎず、お手入れ簡単、で選択してみました。

・[Yokizu加湿器](https://www.amazon.co.jp/Yokizu-LED%E3%83%A9%E3%82%A4%E3%83%88-%E3%81%8A%E6%89%8B%E5%85%A5%E3%82%8C%E3%81%97%E3%82%84%E3%81%99%E3%81%84-%E6%AC%A1%E4%BA%9C%E5%A1%A9%E7%B4%A0%E9%85%B8%E6%B0%B4%E5%AF%BE%E5%BF%9C-%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88/dp/B0DCW87ZXL/ref=sr_1_1?crid=28F9VFFGHAZN6&dib=eyJ2IjoiMSJ9.I-VYoVUeMfA81mxLgKU2J3H9mS__bwQU3R9S13RFEegZVjAR-LkadtE5d2JsgvsUPDRpfg6N81vpgDo5Jac980ooTCJvwhITv34Gb1fmcqOeJVd-QFL8_lFJjg_ewmXlaGDRWR-5fNzujdnhsa3A3KAY09Ke__ETT3MTH49yLjVJQv9ei78X2NPMPUHkqZSPTo_t8VEzcresmV3De31i_b1b3JPW_e8xstwq2ebcxBdz6xVsoN8pcL-n2JiDc-xJCOxigRqypQCN6T9ig4dCNDMs1NLXKDhEGbUPTZgCuTFdELE4uS0gY8il2v340aZpWPwzbHkF_h0_LzEko6qQrCD2o-A3QC0ocZX6__5VNICOMLPUL3n9ODfdGu4R1C_yibUbpwg2HNhCH5tRll_sSDg2a0dLfXrNB8RiSpwmZi0sjN5HOXo4AXiJhri6lx82.P4zwQMvLohazLu_MXBySCOnFzwGmJxkdhyId00B3q0E&dib_tag=se&keywords=%E5%8A%A0%E6%B9%BF%E5%99%A8%2B%E5%8D%93%E4%B8%8A%2B1.5l&qid=1737350109&sprefix=%E5%8A%A0%E6%B9%BF%E5%99%A8%2B%E5%8D%93%E4%B8%8A%2B1%2Caps%2C189&sr=8-1&th=1)

他に何かおすすめがあれば言ってください。
明日の定時中くらいまでにほかのおすすめがなければ上記を注文しようと思います。"
0,yano,@channel 特に他のおすすめもなさそうなのでこちらで稟議を上げて購入します。
0,at-yoshida,"@channel 
早めに着いたのでゴミ処理券買っておきます"
0,yano,"@at-yoshida　CC：@channel  
ありがとう。ただ、3月いっぱいまでは吉田くんが部署経費対象の経費精算を行うとコンサルEに配賦されるため、3月いっぱいまでは吉田くん以外の人が購入してくれると助かります。"
0,r-asanoma,"@yano (cc: @channel )
淺野間が吉田さんから買い取りました。
申請は淺野間が出します。"
0,r-asanoma,"@yano @n-ishii 
上記申請しました。
お手すきの際にご確認ください。"
1,r-isahai,"@at-yoshida @re-yoshimoto (@yano @n-ishii @m-unno @r-asanoma @r-kinoshita )
### AIB新卒説明会　対応について

森さんからもアナウンスがありましたが、
AIBの新卒採用説明会で先輩社員として15～30分ほど説明する場があります。
https://chat.jbdcl.com/jbd/pl/jcjebtcwjpr7p8kcmoo6x45kzc

例年、ローテーションで対応しているのですが、4月以降はお二人もローテーションに参加して対応お願いしたいです。
※3月分は他メンバーで対応いたします。

説明会対応にあたり、使用するスライドの作成も必要となります。
作成スケジュールの目安は、
　2月中　各自作成
　2月下旬～3月上旬　1次レビュー（砂盃＋ほか先輩）
　3月中旬～　矢野さん・石井さん含めて対面レビュー（話す練習込み）
を予定しています。

概要説明を行いたいため、今週金曜～来週水曜程度の間で1時間打合せをいれさせてください。
**いったん仮で【1/31 13:00~14:00】に予定入れました。**
都合あわない場合は他日程調整させてください。よろしくお願いいたします。"
0,at-yoshida,"@yano  @r-asanoma 
お疲れ様です。
CTCのPC故障のため、神谷町オフィスに交換に行く必要があります。
本日の午後にご対応いただけるとのことなので、以下の2つについてご確認よろしくお願いいたします。

- 13時にCTCに向け出社、そのまま直帰
- 本日中にキッティング作業が終わらなかった場合、
　明日CTCに直行し、終了次第在宅勤務に切り替え（本日中に連絡します）
※キッティング作業が間に合った場合は、明日は予定通り最初から在宅勤務

以上、よろしくお願いいたします。"
0,at-yoshida,"@yano 
CTCオフィスからの直帰申請をZaionにて行いました。
お手すきの際にご確認よろしくお願いいたします。"
1,yano,"@channel 
2/4のAIMに参加できないため、矢野から共有したい内容を以下の枠で30分程度で共有したいと思います。

・2/5（水）　15:00-17:00

そもそも上記NGの人、一部NGの人教えて下さい。
OKの人はスタンプで。"
0,m-unno,"@yano 
13:30-17:00で打ち合わせが入っており、上記時間帯はNGです。"
0,yano,"@channel 
・2/5（水）15:00-15:30
で設定し、参加が難しい人は個別にフォローします。"
0,yano,@endo 遠藤さん、ごめんなさい。上記は、AIの組織の話が中心なので遠藤さんは参加いただかなくとも大丈夫です。興味があれば参加してもらうことはNGではないです。
0,yano,"@m-unno 
上記の件、2/7 11:00-11:30で話せますか？
リモートでOKです。"
0,m-unno,"@yano 
はい、問題ありません。
よろしくお願いします。"
0,endo,"@yano 
では遠藤は不参加にします。"
0,at-yoshida,"@channel 
PC交換とキッティング作業は終了したため、明日は予定通り在宅勤務いたします。
よろしくお願いします。"
0,at-yoshida,"@yano 
お疲れ様です。
X-pointにて昨日の神谷町までの交通費申請を行いました。
なお、1月後半分の交通費は2月3日に申請予定です。
以上、ご対応よろしくお願いいたします。"
1,r-isahai,"@channel 
TeamViewerの脆弱性が発見されたため最新バージョンへのアップデート依頼が来ています。
各自対応の上、 :sumi: アクションをつけてください。
　TeamViewerを立ち上げ、左下の「？」から新しいバージョンを確認できます。
　現在のバージョン確認は同じく「？」のTeamViewerについて、から確認できます。
　※バージョンによってUIに若干の差がありそうです
https://chat.jbdcl.com/all/pl/f8gt5z41hbnuur7n3tiin6jbzr"
0,r-isahai,"@at-yoshida @re-yoshimoto 
本日13時より打合せで説明する資料です。
\\jbdtkfs2020\プロジェクト\JBD\AIビジネス研究室\80_新卒採用\10_準備\新卒採用説明会・座談会の対応について.txt"
1,n-ishii,"@channel 各位。いつもの月末・月初処理を忘れずにお願いします。2/4（火）厳守です。
- Zaionの各種申請（残業、タイムカード）
- XPointでの交通費申請"
0,at-yoshida,"最終退出者となったため、鍵とカードキーを持ち出し中です。
よろしくお願いいたします。"
1,r-isahai,"@channel 
GSにて労使協定に関するアンケートが来ています。
実施の上  :sumi: アクションをお願いします。
【期限：2/14(金)】
https://chat.jbdcl.com/jbd/pl/nbenzo3kutyhjn476jb4yfp6za"
0,r-isahai,"@channel 
直前となり申し訳ありません。
本日のAIMのアジェンダを共有いたします。
[/2000_開発者向け/2000_開発者向け/2YYY_組織/AIビジネス研究室/100_AIM/2025/01](https://wiki.jbdcl.com/67987d469ff03c06b0b1e5f3)"
0,r-kinoshita,すみません、JBDMEET入れないのでVPNつなぎ直してみます
0,r-isahai,"@r-kinoshita 
先に開始します。
繋げたら入室お願いします、不参加部分は録画または議事録で確認お願いします。"
0,r-kinoshita,"@r-isahai 
再度接続試してみましたが、変わらず接続できない状態です。
zaionや共有フォルダにはアクセスできるのですが、上記URLを開こうとするとアクセスできませんと表示されています。
原因調査してみますがすぐには入れなさそうなので、申し訳ありませんが不参加とさせてください。
後程録画と議事録確認いたします。"
0,at-yoshida,バグってメニューが何も押せないので一回抜けます
0,r-isahai,"@r-kinoshita 
録画はこの後共有いたします。
議事録は吉田さんに作成していただいたのち共有します。

1点だけ打ち合わせ内で他メンバーと確認したこと、木下さんにも確認させてください。
3月から新卒説明会が始まる件で、森さんから日程調整の連絡が来ておりました。
https://chat.jbdcl.com/jbd/pl/jcjebtcwjpr7p8kcmoo6x45kzc
**第1・第3火曜日、第2・第4金曜日の14時～（先輩社員の皆様が参加するのは14時30分～）**
こちらの日程で打診されているのですが、問題ないでしょうか。
火曜は日本橋出社かと思いますので、金曜在宅時に対応できます、ということであれば火曜は他メンバーでまわせるので問題なさそうです。
各自のスケジュールを見て対応できる人がする、という想定なので、とりあえずOK、でも構わないです！
確認お願い致します。"
0,r-kinoshita,"@r-isahai 
お手数おかけします。ありがとうございます。
新卒説明会についてですが、火曜日は基本日本橋なので、金曜日の在宅時に対応させていただけると助かります。
時間については問題ありません。"
0,r-isahai,"@at-yoshida @r-kinoshita 
本日の打ち合わせ録画です。
\\jbdtkfs2020\プロジェクト\JBD\AIビジネス研究室\71_定例ミーティング\資料\2025\01\AIM_2025-02-04.webm"
0,r-isahai,"@r-kinoshita 
確認ありがとうございます。
では木下さんは金曜、可能なときにお願いします。

追加で一点
説明会資料の最新化が必要そうなので各自最新化の上相互レビューを行いたいと思います。
また別途で連絡します。よろしくお願いいたします。"
0,yano,@channel 今、客先打合せが終わったので岡山発18:20で東京に帰ります。雪大丈夫そうなので明日はAICに出社予定です。
0,yano,ダッシュで新幹線に乗り換えるので今回はお土産買えないですm(_ _)m
0,at-yoshida,"@n-ishii @r-isahai @m-unno 
お疲れ様です。
先ほどの2025年1月度AIMの議事録が完成しました。
お手すきの際にレビューをお願いいたします。
- 議事録
https://wiki.jbdcl.com/67a1c64c9ff03c06b0bea2db
- レビュー指摘表
`\\jbdtkfs2020\プロジェクト\JBD\AIビジネス研究室\71_定例ミーティング\議事録\フォーマットやレビュー前のもの\レビュー指摘表\レビュー指摘票_20250204_定例AIM議事録_吉田.xlsx`"
0,r-isahai,"@at-yoshida 
8点指摘いたしました。よろしくお願いいたします。"
0,at-yoshida,"@r-isahai 
レビュー指摘対応終了いたしました。
ご確認よろしくお願いいたします。"
1,yano,"@m-unno @r-asanoma @r-kinoshita @r-isahai 
来期の目標管理作成にあたってのブレストの件、1時間枠×3回で実施したいと思います。
原則定時中に実施したいと考えていますので、2月中でこの日（曜日）のこの時間はNGというのがあれば返してください。"
0,r-kinoshita,"@yano 
毎日10:30-11:30で朝会のため、ここは参加難しいです。
それ以外であれば問題ありません。"
0,r-asanoma,"@yano (cc: @r-kinoshita  @m-unno )
淺野間ですが、以下の時間はNGとさせてください。
よろしくお願いいたします。
定時：
・毎日：09:30-11:00 CTC朝会
・月曜：15:00-17:00 顧客定例
・木曜：16:00-18:00 顧客定例
2月固有：
・2/20(木) ：午前中 3年目フォローアップ研修"
0,r-isahai,"@at-yoshida 
2件修正漏れがありましたので、対応お願いします。"
0,at-yoshida,"@r-isahai 
修正いたしました。
申し訳ありませんが再度ご確認お願いいたします。"
0,r-kinoshita,"@yano 
すみません、失念しておりました。
木下も2/20（木）フォローアップ研修のため、午前中は参加不可です。"
0,r-isahai,"@at-yoshida 
OKです。共有おねがいします"
0,r-isahai,"@yano 
矢野さんと共通のAI活用委員会周りの予定以外でNGな時間帯は以下です。
- 毎週　月・木　9:30-10:00
- 2/6 終日NG
- 2/7 午後休暇
CTC側の定例会議には出席予定なし、で合意はとっております。
よろしくお願いいたします。"
0,at-yoshida,"@channel 
お疲れ様です。
2025年1月度AIMの議事録が完成いたしました。
以下に配置しております。
https://wiki.jbdcl.com/67a1c64c9ff03c06b0bea2db

以上、よろしくお願いいたします。"
0,at-yoshida,"@yano cc: @n-ishii 
お疲れ様です。
ごみ出し当番のため、2月7日（金）はシフト勤（8:30出社）となります。
また、そのために鍵とカードキーを持ち帰ります。
よろしくお願いいたします。"
0,yano,"@at-yoshida 
了解。

@re-yoshimoto 
明日は最終退出者にならないように気を付けてください。"
0,yano,@m-unno リマインド、海野くんの回答待ちです。
0,m-unno,"@yano 
NGの時間は以下の通りです。
・毎日 10:00-10:30
・月曜 14:30-15:30, 16:30-17:30
・2/10 終日
・2/17 終日
・2/18 15:00-15:30, 16:30-17:30
・2/19 10:00-11:00, 13:30-17:00
"
0,r-isahai,"@channel 
CTCにてPC受け取り完了したため今からAICに帰社いたします。"
0,at-yoshida,"@yano cc: @r-isahai @r-asanoma
お疲れ様です。
2月13日開催の1年目フォローアップ研修参加に関して、3点確認事項がございます。
`開催概要：2月13日（木）10:00～12:00 @五反田事業所`
- 1. 出社時刻
研修は10時開始ですが、9時に五反田事業所に出社して10時までCTCの業務を行う予定です。
（ネットワークはスマホのテザリング、打ち合わせ用の会議室は予約済み）
- 2. 昼休憩時間
研修が12時に終了した後、AICに向かいます。移動に30分ほどかかるため、昼休憩時間を12:30～13:30とさせていただきたいです。
- 3. 在宅勤務日切り替え
この研修の日は木曜日で本来在宅勤務の日なのですが、出社せざるを得ません。
そこで、木曜日に出社する代わりに来週の他の曜日を在宅勤務に変更することは可能でしょうか。可能であれば、14日（金）を在宅勤務とさせていただきたいです。

以上、ご迷惑をお掛けしますがご確認よろしくお願いいたします。"
0,yano,"@at-yoshida @r-asanoma 
淺野間くんに相談して、業務に支障の出ない範囲で調整したらええよ????"
0,at-yoshida,"@yano @r-asanoma @r-isahai 
ありがとうございます。
淺野間さんに許可を頂いたため、上記1?3を記載通りで、2月14日を在宅勤務とさせていただきます。
CTC様にも離席時間について報告いたしました。

以上、よろしくお願いいたします。"
0,m-unno,"@yano 
2/17も終日NGでした。
上記のNGリストに ~~追記いたします。~~ 追記しました。"
0,r-isahai,"@re-yoshimoto 
電話メモ追加印刷する場合はこちら使ってほしいです。
\\jbdtkfs2020\プロジェクト\JBD\AIビジネス研究室\99_個人\isahai\99_メモ\★電話連絡メモ.xls"
1,yano,"@m-unno @r-asanoma @r-kinoshita cc:@r-isahai 
上記の件、矢野の予定で調整中のものがあるので暫定ですが。
??1回目:部署の確認と皆の現状把握
・2/12  13:00-14:00 or 17:00-18:00
※自身の保有スキルと3年後、5年後のキャリア到達点を整理した上で参加してください

??2回目:1年後の組織としての到達点
・2/19 17:00-18:00
※部署方針に沿った到達点(ゴール)とアクションプランのブレスト＆整理
※次回までの宿題:各自のアクションプラン案の作成

??3回目:各自のアクションプランの作成・3人の役割の整理と擦り合わせ
2/26 17:00-18:00
※AICで対面でやりたいので業務調整してください(場合によっては定時後にズレ込んでやることも心積りしておいて下さい)
※事前に自分なりにアクションプラン案を考えて来てください"
0,yano,2/12は13:00-14:00でお願いします。
1,r-isahai,"@m-unno @r-asanoma @r-kinoshita 
### AI新卒説明会対応用資料の最新化について
2/4のAIMでアナウンスいたしましたが、３月からの説明会対応にあたり、各自資料の最新化実施をお願いいたします。

出社メンバーを加味して、以下の組み合わせで適宜相互レビューの実施もお願いいたします。
・砂盃 ⇔ 木下
・海野 ⇔ 淺野間
※共通部分の最新化は一律で行うため、各自で行う必要はありません
※各自の参画案件の状況など、説明会で話せるネタに変化があるかたは修正お願いします
※作業フォルダは以下に
\\jbdtkfs2020\プロジェクト\JBD\AIビジネス研究室\80_新卒採用\20_資料

初回の説明会は3/4予定です。2/21ごろまでに最新化→レビュー依頼し、翌週中に修正完了目途としてください。
また、共通スライド部分については、作成予定が決まり次第追って連絡いたします。

よろしくお願いいたします。"
1,yano,"@m-unno @r-asanoma @r-kinoshita @r-isahai 
昨日は打ち合わせお疲れ様でした。
次回は2/19 17:00-18:00で実施するのでよろしくお願いします。
一年後にどんな部署になっていたいかをブレストするので自分なりにこんな部署になっていたら、というのを妄想しておいてください。

PS 次回終了後に懇親会をと話していましたが、三回目を終えてからの2/26の定時後にやりましょう!"
0,at-yoshida,"@channel 
お疲れ様です。
フォローアップ研修終了いたしました。"
0,re-yoshimoto,"@channel 
お疲れ様です。
同じくフォローアップ研修終了いたしました。"
0,re-yoshimoto,これより秋葉原に移動します
1,yano,"@channel 
誰か対応お願いします。
2/14 17:00-18:00で大阪本社(肥後橋)の会議室を押さえてください。
タイトルは
NTTCom IDMT外部打ち合わせ
でお願いします。

PS  GSで2/14の社長の予定を確認してこの書き込みにレスしてください。"
0,r-isahai,"@yano 
2/14 17:00-18:00 大阪本社 第一会議室
で矢野さんに上記予定登録いたしました。
2/14 社長の予定は何も登録されていないです。"
0,r-isahai,第一以外も会議室空いているようなので、他のご希望あれば取ることは可能そうです。
0,yano,@r-isahai ありがとう。第一会議室でOKです。社長何も予定ないのか…了解です。
0,yano,@r-isahai 因みに火曜-木曜何か予定入ってた？
0,r-isahai,"@yano 
今週は
2/12 15:00-20:00 大商（外出）
2/13 13:00-14:00　来客
　　　16:30-20:00 大心総会（外出）
来週でしたら、
2/19 13:15-17:00　大阪倶楽部（外出）
が入っています。
それ以外の予定は入っていません。"
0,yano,@r-isahai ありがとうm(_ _)m
0,re-yoshimoto,"@channel
おはようございます。
昨夜から体調不良のため、本日は欠勤させていただきます。
本日ゴミ出し当番なので、何方かに引き継ぎ願えないでしょうか。
ご迷惑お掛けしますが、よろしくお願いいたします。"
0,r-isahai,"@re-yoshimoto 
ゴミですが、掃除の方が捨ててくれたみたいです。
ためしにちょうど昨日パントリーにおいてみてよかったです :flushed:  
お大事にしてください。"
1,yano,"@m-unno @r-kinoshita @r-asanoma @at-yoshida @r-isahai 
昨日話した事業部の来期の計画（実施目標）は以下となります。

（１）AI関連システムの開発
-知識習得目的ではなく、実務レベルでの能力向上を目的とし、模擬のPJを実施することで実施事項や役割などを経験し、事業部としての対応能力の底上げを図る

（２）各自の保有スキルのトランスファー実施
-部署メンバーのユーティリティを向上し、マルチファンクションでの業務遂行を行うため、各自の保有スキルを相互に共有し、各メンバーの対応能力を向上させる

（３）部署内でのコミュニケーションの活性化
-普段、客先案件に従事しているためコミュニケーションが不足しがちであるが、上記（１）（２）実現のための行動を通じてメンバー間のコミュニケーションを活性化し、部署として対応するマインドを醸成する

昨日の話題には直接出てきていない内容も含まれるかもしれませんが、部署目標は上記とします。

各自、次回までに自身の目標とアクションプラン案を作成したうえで参加して下さい。
一人で考えてもなかなか作成しづらい部署目標となっていると思います。
逐次、連携して進めて下さい。"
0,yano,追伸）吉田くんには、３回目の検討終了後、フィードバックするので、一旦、先輩が集まって検討しているんだ、くらいに認識しておいて下さい。
0,yano,"おはようございます。朝一、秋葉原によって加藤さんと打ち合わせをした後、AICに出社します。

@n-ishii @r-isahai 
朝会間に合わないと思うので進めておいてください。次回の活用委員会のアジェンダ作成どうするか検討お願いします。"
0,yano,"@n-ishii @r-asanoma 
昨日、来期のAISの予算が無茶しなくてもある程度みこめそうだ、と伝えましたが、経管から費用配分に誤りがあった、もっと費用が増えるとの連絡がありました。
ぬか喜びとなったので来週改めて共有します。"
0,at-yoshida,"@yano @n-ishii @r-isahai @r-asanoma 
2月28日（金）にごみ出し当番で早出するため、本日退勤時に鍵・カードキーを持ち出します。
よろしくお願いいたします。"
0,at-yoshida,ごみ出しと鍵返却完了いたしました。
0,r-isahai,"@yano 
・掃除機
　先ほど東京本社に持っていき、集荷お願いしました。
　到着予定日わかり次第連絡いただきますので、矢野さんにも連携いたします。
　　担当者連絡先：ヤマダ難波店　野澤様（0666498121）
・本人確認書類
　渡辺さんに直接お渡しいたしました。"
0,yano,"@r-isahai 
上記、砂盃さんのほうで日付指定はしていないってことかな？
これなら届くという日を書いておけばいいのに↓
東京本社に確認します。"
0,yano,本人確認書類の件、ありがとうm(__)m
0,r-isahai,"@yano 
日付指定はしていないです。
申し訳ありません。集荷時に予定日を聞いて連絡いただくようお願いしております。"
0,yano,"@r-isahai 
うん、集荷って17時くらいだよね？
それから経管→砂盃さん→矢野→ヤマダ電機を今日できるかな、と思って。。。
矢野は3/3いないので。"
0,r-isahai,"@yano 
集荷の時間は把握していないです。
気が回らず申し訳ありません。"
0,yano,"@r-isahai 
うん、何とも言えない。。
矢野の対応が異常なのかもしれないし。。"
0,yano,"@r-isahai 
宮林さんに確認したところ、大体翌日には着く、とのことでしたので、3/3（月）着で指定し、野澤様に連絡済みです。"
0,r-isahai,"@yano 
ありがとうございます。"
0,yano,"@channel 
月次締め処理の件、矢野は3/3（月）実家事情で休むため、3/4（火）に矢野の承認ができるように進めてください。よろしくお願いします。"
1,yano,"@m-unno @r-asanoma @r-kinoshita @at-yoshida @endo CC: @r-isahai 
来期は目標管理の進捗確認とその他諸々の会話を月一で各自と実施したいと思います(要するに1on1的な)。
来期になってから微調整が入るのはやむなしとして今のうちに予定を立てておきたいので、各自この曜日のこの時間(1時間)なら行けそう(今期の予定ベースでいいです)をこのスレッドに返してください。

矢野NGは以下です。
・水曜日:11:00-12:00、15:00-17:00(AIBのスクラムイベント想定)
・第3、第4金曜の14:00-18:00(役員会想定)
・その翌週の10:00-12:00(事業部長会議想定)

@n-ishii @r-isahai 
石井くんと砂盃さんはどれくらいのペースでやるか3/5に相談しましょう。"
0,yano,もう一点、先日話した「育成メンバー」の件、やりたいという人は、来週中にこちらのスレッドにこの観点を鍛えたい！を添えて手をあげてください。
0,at-yoshida,"@yano 
お疲れ様です。1on1の日時ですが、
・水曜日：13時～15時
・第1or2金曜日：14時～18時
なら対応可能です。
以上、よろしくお願いいたします。"
0,yano,@at-yoshida 了解。いずれかの水曜13:00-14:00で調整します。
0,r-isahai,"@m-unno @r-asanoma @r-kinoshita @at-yoshida 
新卒説明資料の共通スライド部分を修正いたしました。
\\jbdtkfs2020\プロジェクト\JBD\AIビジネス研究室\80_新卒採用\20_資料\部署紹介_共通スライド.pptx

修正案や意見などありましたらご連絡ください :woman-bowing: 
よろしくお願いいたします。"
0,r-asanoma,"@yano 
お疲れ様です。
1on1の日程について、淺野間は以下の時間**以外**であれば対応可能と思われます。
・毎日 9:00-11:00 or 17:00-18:00（朝会または夕会を想定）
・毎週 月 15:00?、木 16:00?（顧客定例会想定）
・毎週 火or金 14:30~ （AI事業部Web会社説明会を想定）
以上、よろしくお願いいたします。"
0,r-kinoshita,"@yano 
お疲れ様です。
1on1の日程ですが、以下であれば対応可能です。
・月曜日：13:00-16:30, 17:00-
・金曜日：13:00-16:30, 17:00-
よろしくお願いいたします。

また、育成メンバーやります :man-raising-hand: 
鍛えたい観点は環境構築等の技術力になります。何卒よろしくお願いいたします。"
0,at-yoshida,"@yano 
お疲れ様です。
夜遅くにZaion勤怠承認してくださり、ありがとうございます。確定申請完了いたしました。
また、X-pointで2月後半分の交通費を申請いたしましたので、お手すきの際にご確認よろしくお願いいたします。"
1,r-isahai,"@channel 
### 情報セキュリティ研修
本日より東日本の情報セキュリティ研修が開始しております。
メール確認の上受講し、完了したら  :sumi: スタンプを押してください。
#AIB完了確認
https://chat.jbdcl.com/jbd/pl/6jkg8n7psjyutbsfd8ixai1psa"
1,at-yoshida,"@channel 
AICのスキャンフォルダにユニマット請求書のファイルが置かれたままになっています。
僕には削除してもよいのか判断できないので、思い当たる方はご対応お願いします。"
0,m-unno,"@yano 
1on1日程の件、海野のNGの時間帯を共有いたします。
（2週間スプリントの都合上、隔週のものが存在します）
・毎日 10:00-11:00
・月曜 14:30-15:30, 16:30-17:30
・火曜 15:00-15:30, 16:30-17:30（いずれも隔週）
・水曜 10:00-11:00, 13:30-17:00（いずれも隔週）"
0,yano,"@at-yoshida 
4/23（水）13:00-14:00
を皮切りに毎月第4水曜日の13:00-14:00で。"
0,yano,"@r-asanoma 
4/23（水）14:00-15:00
を皮切りに毎月第4水曜日の14:00-15:00で。"
0,yano,"@r-kinoshita 
4/11（金）17:00-18:00
を皮切りに毎月第2金曜日の17:00-18:00で。"
0,yano,"@m-unno 
4/10（木）17:00-18:00
を皮切りに毎月第2目曜日の17:00-18:00で。"
0,r-isahai,"@channel 
本日のAIMのアジェンダを共有いたします。
[/2000_開発者向け/2000_開発者向け/2YYY_組織/AIビジネス研究室/100_AIM/2025/02](https://wiki.jbdcl.com/67c501a39ff03c06b0df8275)
議事録作成は木下さんに依頼しています"
