date,frame,sell_amount,buy_amount,contracted_amount,tokyo_price
2024/4/4,9,17964950,16579850,12150600,11.2
2024/4/4,10,18011850,16722700,12236150,11.5
2024/4/4,11,17922650,16813550,12108300,12.75
2024/4/4,12,18666500,16567500,12014100,11.76
2024/4/4,13,19066450,16708150,12197350,12
2024/4/4,14,19146050,17255850,12640650,13.15
2024/4/4,15,20284850,17405050,12749950,11.56
2024/4/4,16,21181100,17713650,12967900,10.32
2024/4/4,17,22605050,18500650,13833750,9.96
2024/4/4,18,23589100,18591500,14689450,9.54
2024/4/4,19,24603050,19380650,15090000,9.88
2024/4/4,20,25768600,19429500,15753450,9.33
2024/4/4,21,26946150,19893050,16082600,8.98
2024/4/4,22,27989750,20000350,16322550,8.95
2024/4/4,23,28782250,19752850,16527900,8.89
2024/4/4,24,29371450,19666300,16740500,8.93
2024/4/4,25,29429250,19399350,16974600,8.95
2024/4/4,26,29175350,19291650,16868000,9
2024/4/4,27,28762550,19793050,16651200,9.2
2024/4/4,28,27605850,19791350,16165300,9.26
2024/4/4,29,26493150,19503000,15825100,9.26
2024/4/4,30,25852450,18531700,15418000,9.09
2024/4/4,31,24768250,18270100,14810100,9.23
2024/4/4,32,23872000,18090150,14141150,9.9
2024/4/4,33,22775000,18517650,14235150,10.06
2024/4/4,34,21485900,18408800,13946250,10.53
2024/4/4,35,21202700,18402450,13943050,12
2024/4/4,36,21731550,18766650,13826000,15
2024/4/4,37,21427950,18412450,13541900,12.85
2024/4/4,38,21784850,18245500,13353650,12.75
2024/4/4,39,21989550,18188300,13226250,12.75
2024/4/4,40,22376400,17959750,13145250,12.32
2024/4/4,41,21486750,18081450,12879500,12.46
2024/4/4,42,20356650,18039100,12823200,12
2024/4/4,43,20371250,17799500,12596950,12
2024/4/4,44,20412300,17167850,12475500,10.89
2024/4/4,45,20445950,16908000,11924450,11.86
2024/4/4,46,20373450,16010100,11655400,10.14
2024/4/4,47,19920850,15342500,11258600,9.66
2024/4/4,48,19690250,13877950,10946050,9.5
2024/4/5,1,18158050,14524750,10784200,10.45
2024/4/5,2,19099600,15460400,11337700,10.32
2024/4/5,3,19384600,15587350,11501950,10.02
2024/4/5,4,19550900,15926300,11577400,10.18
2024/4/5,5,19825750,16072950,11800700,10.3
2024/4/5,6,19534300,16298300,11977200,10.5
2024/4/5,7,19580250,16620150,12146800,10.69
2024/4/5,8,19721650,16892150,12341850,11.2
2024/4/5,9,19640400,16954300,12368950,11.73
2024/4/5,10,19493950,17014700,12367950,11.95
2024/4/5,11,19101850,17267250,12530700,11.67
2024/4/5,12,19200200,17084450,12251200,11.15
2024/4/5,13,19451550,17361550,12602150,12
2024/4/5,14,19521150,17450950,12640400,11.23
2024/4/5,15,20334150,17441150,12469800,11.5
2024/4/5,16,21268650,17290500,12637350,9.87
2024/4/5,17,22466850,17727100,13566200,10.31
2024/4/5,18,23107250,18267850,14294200,11.17
2024/4/5,19,23688400,18644150,14729700,9.89
2024/4/5,20,25138400,18793600,15083550,10
2024/4/5,21,26308800,19838500,15693700,11.3
2024/4/5,22,27436100,19909800,15740050,11.1
2024/4/5,23,27940600,20023700,15908500,10
2024/4/5,24,28041150,20039200,15962500,10.1
2024/4/5,25,28665250,19295200,15576200,9.91
2024/4/5,26,28451250,19095800,15434200,9.84
2024/4/5,27,27703150,19536100,15590550,9.7
2024/4/5,28,26893550,19602600,15458850,11.23
2024/4/5,29,25888350,19409000,14970600,11.36
2024/4/5,30,24688100,18282450,14524000,10.39
2024/4/5,31,23923700,18015450,13975500,10.1
2024/4/5,32,22600250,17851150,13269050,10.14
2024/4/5,33,21757300,18437650,13558150,11.54
2024/4/5,34,20439700,18278650,13433550,11.54
2024/4/5,35,22069600,18501950,13692600,12
2024/4/5,36,21981150,18721950,13860300,13.09
2024/4/5,37,21409250,18961800,13726700,13.67
2024/4/5,38,21494550,19017000,13597800,14.99
2024/4/5,39,21618350,18852900,13419050,14
2024/4/5,40,21865000,19038250,13392500,13.9
2024/4/5,41,19745000,18987450,13252550,13.21
2024/4/5,42,19750200,18875150,13060750,13.09
2024/4/5,43,19945700,18756400,12969700,12.85
2024/4/5,44,19959800,18335550,12590450,12.55
2024/4/5,45,19742100,18121450,12480650,12.59
2024/4/5,46,19824950,17025600,11927600,11
2024/4/5,47,19306600,16320150,11358300,10.3
2024/4/5,48,18559550,14739900,10872250,9.9
2024/4/6,1,16238050,14135050,10394650,12.27
2024/4/6,2,17524600,14693600,10620400,10.49
2024/4/6,3,18026700,15056850,10747150,10.69
2024/4/6,4,18434450,15473150,10963250,11.37
2024/4/6,5,18314500,15595750,11087950,11.87
2024/4/6,6,17912400,15670750,11152550,12
2024/4/6,7,18110100,15849950,11234500,12.27
2024/4/6,8,17909050,15962600,11343000,12.85
2024/4/6,9,17904800,15897000,11422950,12.85
2024/4/6,10,17979400,15810100,11387000,12.85
2024/4/6,11,18200100,15622350,11270400,12.85
2024/4/6,12,18678700,15617550,11362550,12.63
2024/4/6,13,20047600,15889700,11547550,12.03
2024/4/6,14,21512650,15293650,11413050,10.37
2024/4/6,15,23331350,14412950,11510500,9.57
2024/4/6,16,24767900,14344850,12091050,9.47
2024/4/6,17,26628500,15904550,12526000,9.31
2024/4/6,18,27319000,16654850,13335700,9.37
2024/4/6,19,27669750,17046550,14052300,9.57
2024/4/6,20,29060350,17012150,14459700,9.52
2024/4/6,21,30115500,16709650,14582350,9.4
2024/4/6,22,30722600,16602000,14723550,9.51
2024/4/6,23,31020750,16570450,14806500,9.4
2024/4/6,24,31169950,16527150,14688900,9.51
2024/4/6,25,31477900,16190950,14367050,9.51
2024/4/6,26,31311850,16023900,14233850,9.51
2024/4/6,27,30867700,16233400,14282800,9.51
2024/4/6,28,30249600,16278950,14272850,9.31
2024/4/6,29,29421450,16358400,13952400,9.31
2024/4/6,30,28288800,16215850,13480100,9.24
2024/4/6,31,27431200,16011000,12889700,9.17
2024/4/6,32,26443300,16391250,12404300,9.73
2024/4/6,33,25648900,16341600,12567450,9.68
2024/4/6,34,23014300,16649800,12479900,10.53
2024/4/6,35,21514800,16216900,12042000,10.63
2024/4/6,36,20842150,16586050,12028200,11.95
2024/4/6,37,22226050,17217650,12388100,12.85
2024/4/6,38,22507750,17228500,12495400,13.47
2024/4/6,39,22655350,17143950,12234300,12.65
2024/4/6,40,22190150,16932400,12244450,12.55
2024/4/6,41,21026150,16661650,11950800,12
2024/4/6,42,21037850,16342850,11728100,11.58
2024/4/6,43,20912950,16117850,11476750,11.33
2024/4/6,44,21263200,15764400,11383150,10.44
2024/4/6,45,21351600,15158050,10832250,10.49
2024/4/6,46,21537800,14790800,10663200,10.19
2024/4/6,47,20584650,14587200,10380450,10.22
2024/4/6,48,19937050,13599400,10304800,9.64
2024/4/7,1,18088350,14113200,10488300,13.53
2024/4/7,2,19377100,14188000,10544200,12.45
2024/4/7,3,19951900,14204850,10528050,12.23
2024/4/7,4,20308200,14287400,10611900,10.7
2024/4/7,5,19979350,14641150,10609450,10.7
2024/4/7,6,19542800,14837600,10565050,12
2024/4/7,7,19656950,14799500,10540900,10.5
2024/4/7,8,19355250,14899800,10507150,11.01
2024/4/7,9,19798250,14920450,10559650,10.79
2024/4/7,10,19984050,14979950,10556900,11.01
2024/4/7,11,20490750,14932900,10497700,10.69
2024/4/7,12,20941800,14668800,10428550,10.5
2024/4/7,13,22242250,14546800,10653100,10.43
2024/4/7,14,23032450,14714350,10888800,10.36
2024/4/7,15,24112650,13995500,11140750,9.33
2024/4/7,16,25248300,13522800,11672750,9.18
2024/4/7,17,26951900,14452400,12211000,9.05
2024/4/7,18,28238100,14557200,12821800,8.93
2024/4/7,19,29123600,15080500,13590350,8.92
2024/4/7,20,30969200,15251450,13849850,8.91
2024/4/7,21,32816350,14508050,14064550,8.1
2024/4/7,22,33599300,14436000,14058300,7.8
2024/4/7,23,33991450,14512800,14105900,8.67
2024/4/7,24,34306450,14314350,13971650,7.8
2024/4/7,25,34277250,14001000,13806600,5
2024/4/7,26,34266400,14072700,13880650,4.88
2024/4/7,27,33872400,14206400,14031750,4
2024/4/7,28,32992500,14468300,14076950,7.8
2024/4/7,29,32221350,14406400,13989150,5
2024/4/7,30,31053700,14358550,13730900,8.67
2024/4/7,31,30139550,13929050,13239250,7.58
2024/4/7,32,28389550,13756350,12312700,8.9
2024/4/7,33,27157950,14035350,12062950,9.24
2024/4/7,34,24976050,14960700,12315150,11
2024/4/7,35,23436550,15508550,12343000,13.47
2024/4/7,36,22425550,16193250,12329150,13.6
2024/4/7,37,21624050,16712650,12564200,14.05
2024/4/7,38,22105600,16995350,12426450,15.41
2024/4/7,39,22102700,16975050,12362750,15
2024/4/7,40,22335950,16853100,12320400,13.66
2024/4/7,41,22318650,16604250,12143250,13.41
2024/4/7,42,22449850,16240400,12022450,13.41
2024/4/7,43,22323100,16354000,12157850,13.6
2024/4/7,44,22756500,16065250,12170850,13.41
2024/4/7,45,23168800,15374800,11755950,10.5
2024/4/7,46,23197200,14966400,11651750,10.16
2024/4/7,47,22544650,14627600,11393750,10.24
2024/4/7,48,21674000,13620900,10994400,10
2024/4/8,1,18602400,13150650,9968300,10.5
2024/4/8,2,19538350,13110400,9848350,10.13
2024/4/8,3,19780400,13184500,9848950,9.91
2024/4/8,4,19934300,13452050,9907850,9.85
2024/4/8,5,19506800,13770350,9975650,9.88
2024/4/8,6,19091850,14148650,10066850,10
2024/4/8,7,18875600,14630900,10307200,10.04
2024/4/8,8,19215400,14775700,10475250,10.23
2024/4/8,9,19407500,14497450,10751400,11.03
2024/4/8,10,19497250,14686800,10901200,10.49
2024/4/8,11,18925100,14304100,10180200,10.5
2024/4/8,12,18855150,14437350,10150700,11
2024/4/8,13,19366550,14827850,10579300,11.68
2024/4/8,14,19982900,15136250,10824550,11.59
2024/4/8,15,20472300,15504950,11097500,12.49
2024/4/8,16,20286550,15752250,11489200,11.54
2024/4/8,17,20333800,16712550,11973900,10.5
2024/4/8,18,20379100,17625500,12695700,10.86
2024/4/8,19,20330650,18403700,13065200,14.63
2024/4/8,20,20922950,18785400,13339650,13.47
2024/4/8,21,21617400,19724750,13651250,11.53
2024/4/8,22,21915650,20110150,13989900,11.59
2024/4/8,23,22665900,20561300,14425450,11.47
2024/4/8,24,23097650,20564150,14611550,11.54
2024/4/8,25,23672450,19818300,14548350,9.92
2024/4/8,26,23164050,19723750,14468400,9.98
2024/4/8,27,21678450,20650100,14162500,12
2024/4/8,28,20456400,19994250,13422800,13.53
2024/4/8,29,19998300,19699100,13062950,11.67
2024/4/8,30,19109550,19406650,12861950,12.72
2024/4/8,31,18736100,17958900,12574500,12.46
2024/4/8,32,18196050,17712850,12755750,13.47
2024/4/8,33,18460400,18291000,13168150,13.41
2024/4/8,34,18592450,18163150,13190800,12.77
2024/4/8,35,18344300,17609450,12675050,13
2024/4/8,36,18008450,17756700,12821450,14.49
2024/4/8,37,17803850,17698400,12673300,14.49
2024/4/8,38,18382300,17626100,12572900,13.6
2024/4/8,39,18456000,17267400,12302000,13.28
2024/4/8,40,18439200,16970700,12064600,12.24
2024/4/8,41,18779750,16579500,11775950,12
2024/4/8,42,18962550,16645400,11860400,12.63
2024/4/8,43,18876600,16639800,11912500,12.49
2024/4/8,44,19034000,16516650,12039200,11.67
2024/4/8,45,18966900,15872150,11751650,12.3
2024/4/8,46,18873600,15034200,11716450,11.54
2024/4/8,47,18325150,14753350,11630100,11.59
2024/4/8,48,17685900,13850500,11342250,10.5
2024/4/9,1,17141150,13374700,11097850,10.53
2024/4/9,2,17477450,13967900,11157050,10.65
2024/4/9,3,17908900,14247800,11305600,10.78
2024/4/9,4,17941350,14502000,11458800,10.26
2024/4/9,5,18158550,14631500,11575100,10.16
2024/4/9,6,18014550,15071600,11669700,10.16
2024/4/9,7,17929200,15321550,11834700,10.21
2024/4/9,8,17699850,15476350,11838500,10.19
2024/4/9,9,17791450,15686950,11914750,10.21
2024/4/9,10,18372400,15838600,12197550,10.23
2024/4/9,11,18155700,15312150,11503550,10.02
2024/4/9,12,18313550,15480400,11743650,10.25
2024/4/9,13,18575200,15350350,11828200,10.45
2024/4/9,14,18585900,15286550,11697500,11.34
2024/4/9,15,18164150,15846850,11881700,13.47
2024/4/9,16,17806150,16667300,12373700,13.41
2024/4/9,17,17664950,17672700,12383300,17.29
2024/4/9,18,17748800,18452400,12501200,19.97
2024/4/9,19,17753400,18829500,12556250,19.97
2024/4/9,20,18404450,19327700,12993700,19.97
2024/4/9,21,19178750,20264200,13431000,19.97
2024/4/9,22,19804700,20429350,13818100,19.97
2024/4/9,23,20301500,20498650,14148600,19.97
2024/4/9,24,20616450,20521100,14164300,19.97
2024/4/9,25,21866050,19418300,14324500,13.57
2024/4/9,26,22204750,19374650,14362550,13.6
2024/4/9,27,21458400,20254600,14731150,19.59
2024/4/9,28,21174850,19835200,14536200,19.48
2024/4/9,29,20853500,19889400,14322650,19.97
2024/4/9,30,20487700,19654900,14064500,19.97
2024/4/9,31,20200450,17891250,13449900,14
2024/4/9,32,19319000,17772250,13183800,14.81
2024/4/9,33,19414500,18473450,13852500,15
2024/4/9,34,18530100,18766150,13562000,19.97
2024/4/9,35,18512000,18363300,13414000,17
2024/4/9,36,17825250,19071200,13561450,19.97
2024/4/9,37,17350100,19308000,13509200,19.97
2024/4/9,38,17519550,19386900,13333100,19.97
2024/4/9,39,17690900,18986400,13413100,19.5
2024/4/9,40,17820600,18561050,13323800,16.94
2024/4/9,41,17821950,17947750,12814250,13.6
2024/4/9,42,17717550,17415950,12416500,13.41
2024/4/9,43,18035750,17382050,12424600,12.85
2024/4/9,44,18556950,17019200,12343850,12.12
2024/4/9,45,18738050,16748950,12399850,13.35
2024/4/9,46,18972500,16288000,12322550,12.22
2024/4/9,47,18811550,15810150,12275500,11.08
2024/4/9,48,18984900,14715700,11919400,10.16
2024/4/10,1,18340750,15083500,11824200,11.54
2024/4/10,2,19243900,14969500,11873450,10.48
2024/4/10,3,19358500,15224850,12003200,10.46
2024/4/10,4,19375100,15108100,11759750,10.13
2024/4/10,5,19064400,15396100,11788200,10.46
2024/4/10,6,18932350,15652100,11740850,10.7
2024/4/10,7,18701100,15850800,11732900,11.03
2024/4/10,8,18525400,15982400,11710800,11.58
2024/4/10,9,18170150,16156350,11642400,12.15
2024/4/10,10,18255450,16437100,11779150,12.27
2024/4/10,11,17623050,16438350,11392700,16.85
2024/4/10,12,17899050,16448600,11466600,14.63
2024/4/10,13,18586550,16718900,11865100,13.73
2024/4/10,14,20537100,16183500,12200450,10.4
2024/4/10,15,22686950,15958050,12746250,9.54
2024/4/10,16,25729800,16476000,13684600,9.26
2024/4/10,17,28179350,17321250,14836050,9.26
2024/4/10,18,29703000,18049250,15681550,9.26
2024/4/10,19,31308650,18407900,16190200,9.26
2024/4/10,20,33118700,17571400,16272450,8.95
2024/4/10,21,34502300,17456950,16875700,6
2024/4/10,22,35715950,17338350,16983550,5
2024/4/10,23,36340050,17392250,17092100,3
2024/4/10,24,37323500,16974550,16905000,1
2024/4/10,25,38414800,15979050,15979050,0.01
2024/4/10,26,38307500,15959200,15927850,0.13
2024/4/10,27,36940650,16826600,16529500,3.01
2024/4/10,28,35496150,17162950,16518450,8.5
2024/4/10,29,33860550,17369050,16420200,9.06
2024/4/10,30,32226600,17337950,16222950,9.26
2024/4/10,31,29978600,16517650,14909700,9.6
2024/4/10,32,26934200,17201800,14618300,10.43
2024/4/10,33,23975500,17654950,14612150,11.01
2024/4/10,34,21890950,18060700,14310550,13.6
2024/4/10,35,20462200,18120850,13543450,15
2024/4/10,36,19437850,18865850,13636250,19.5
2024/4/10,37,18548250,19131450,13494300,19.5
2024/4/10,38,18618600,18768350,13166450,19.97
2024/4/10,39,18747050,18604100,13048150,19.97
2024/4/10,40,18772750,18410300,12828300,19.97
2024/4/10,41,18526450,18199600,12393850,19.97
2024/4/10,42,18575400,18162400,12286900,18.09
2024/4/10,43,18437400,17910600,12199850,17.48
2024/4/10,44,18491800,17844550,12091050,17.68
2024/4/10,45,18267650,17279950,11870350,17.78
2024/4/10,46,18701300,16640500,11978450,13.66
2024/4/10,47,18673700,15957650,11753000,12.27
2024/4/10,48,19079750,14973400,11933550,10.53
2024/4/11,1,17379350,14260800,11740700,11.7
2024/4/11,2,18066950,14524250,11724350,11
2024/4/11,3,18089750,14804400,11845350,12.26
2024/4/11,4,18222700,14610350,11769150,11.44
2024/4/11,5,18198000,15277400,11982350,12.26
2024/4/11,6,18226700,15654050,11955950,12.34
2024/4/11,7,18267800,15494550,11762850,11
2024/4/11,8,18238700,15628950,11745600,11.26
2024/4/11,9,18261400,15401650,11600350,10.38
2024/4/11,10,18179350,15757150,11892500,11
2024/4/11,11,17999750,15736300,11414050,13
2024/4/11,12,17634300,15619800,11380500,13.24
2024/4/11,13,19000800,15735600,11824150,10.98
2024/4/11,14,19722550,15904000,12264200,10.02
2024/4/11,15,21553800,16137250,12976100,9.58
2024/4/11,16,23162900,16463600,13837450,9.44
2024/4/11,17,26022600,18784250,15792100,11.59
2024/4/11,18,27800750,19283800,16454700,13.45
2024/4/11,19,28515950,19785200,16899600,11.03
2024/4/11,20,29673800,20083000,17344150,9.77
2024/4/11,21,30619200,21505850,17968900,9.62
2024/4/11,22,31507500,20839750,17811850,9.48
2024/4/11,23,31667600,20905600,17728850,9.39
2024/4/11,24,31729700,20597600,17679950,9.3
2024/4/11,25,31905100,19774700,17324950,9.26
2024/4/11,26,31427300,19874400,17168000,9.33
2024/4/11,27,30989500,20435150,17420000,9.62
2024/4/11,28,30073850,20538400,17312900,10.01
2024/4/11,29,28514400,20410400,16399700,11.27
2024/4/11,30,26235500,20366700,15843550,11.54
2024/4/11,31,24162500,17952350,14712100,9.59
2024/4/11,32,22327700,17975900,13941950,9.75
2024/4/11,33,21869350,18557100,14335550,10.28
2024/4/11,34,20489250,18443350,14001250,13.41
2024/4/11,35,19293800,18398350,13705650,15.02
2024/4/11,36,19128800,18995400,13968850,17
2024/4/11,37,18639250,19447500,13998700,19.5
2024/4/11,38,19075650,19415950,13933600,17.56
2024/4/11,39,19089800,18921600,13600200,15.46
2024/4/11,40,19129200,18778100,13487050,15.46
2024/4/11,41,19408750,18333600,13387200,12.91
2024/4/11,42,19307950,18053000,13201650,12.49
2024/4/11,43,18989950,17775350,12940000,12.49
2024/4/11,44,19650250,17335800,12706000,11.54
2024/4/11,45,19191700,16696100,12104600,11.57
2024/4/11,46,19539800,16133050,11852200,10.33
2024/4/11,47,19222350,15791250,11732200,10.3
2024/4/11,48,19213250,14768150,11466650,9.97
2024/4/12,1,18376100,15193200,11047600,11.03
2024/4/12,2,19892400,15451300,11370700,10.18
2024/4/12,3,20294100,15554600,11567750,9.97
2024/4/12,4,20238350,15824350,11696850,10.13
2024/4/12,5,20017300,16057100,11758450,10.29
2024/4/12,6,19598550,16410150,11886250,10.46
2024/4/12,7,19010650,16595000,11888950,11
2024/4/12,8,18755750,16787850,11919800,11.5
2024/4/12,9,18860450,16770600,11950350,11.54
2024/4/12,10,18792400,17048650,12125250,11.61
2024/4/12,11,18801950,16946100,11973850,11.69
2024/4/12,12,19132800,16770400,11981000,11.15
2024/4/12,13,20364350,16634600,11977550,10.33
2024/4/12,14,21544900,16137350,11824600,9.87
2024/4/12,15,22651900,15918950,12181050,9.89
2024/4/12,16,23900650,16234050,12762050,9.82
2024/4/12,17,24912350,16631000,13417500,9.62
2024/4/12,18,26117650,17238900,14054250,9.82
2024/4/12,19,26587500,17598100,14264750,10.02
2024/4/12,20,27890150,17681900,14471100,9.75
2024/4/12,21,29402400,19258650,15834350,11.57
2024/4/12,22,30471000,19441350,16061900,13.47
2024/4/12,23,30956500,19508500,16026650,13.47
2024/4/12,24,31635800,19096550,15833950,13.41
2024/4/12,25,32314200,17877450,15146700,9.61
2024/4/12,26,32772800,18148500,15223450,9.66
2024/4/12,27,31640350,19253200,16009350,10.34
2024/4/12,28,30863650,19348900,16023900,10.04
2024/4/12,29,29669300,18840250,15607000,10.13
2024/4/12,30,27875050,17968650,14879200,9.61
2024/4/12,31,26994350,17241050,14205350,9.62
2024/4/12,32,25039300,17008700,13891000,9.73
2024/4/12,33,24580450,17595850,14519050,10.37
