日付,最高気温,最低気温,降水量
2023-07-11,34.6,26.5,13.7
2023-07-12,32.8,24.2,10.1
2023-07-13,33.5,29.3,0.2
2023-07-14,33.6,27.3,3.1
2023-07-15,30.5,26.3,0
2023-07-16,35.0,30.4,0
2023-07-17,30.6,22.9,4.0
2023-07-18,35.3,30.0,0.2
2023-07-19,32.4,26.4,0
2023-07-20,29.7,24.9,6.4
2023-07-21,32.0,26.9,15.6
2023-07-22,34.8,25.8,0
2023-07-23,29.8,25.3,4.0
2023-07-24,30.8,26.3,3.3
2023-07-25,32.4,24.0,7.6
2023-07-26,33.6,27.5,0
2023-07-27,31.0,25.3,6.8
2023-07-28,28.7,23.3,6.0
2023-07-29,31.8,24.7,2.4
2023-07-30,34.2,29.1,2.4
2023-07-31,30.9,24.7,7.5
2023-08-01,34.7,26.5,3.9
2023-08-02,28.2,20.7,2.1
2023-08-03,34.2,27.8,2.9
2023-08-04,30.6,22.0,2.9
2023-08-05,33.5,25.2,7.5
2023-08-06,28.4,23.6,2.2
2023-08-07,31.2,23.8,12.0
2023-08-08,32.0,24.2,0
2023-08-09,30.6,23.8,13.2
2023-08-10,28.9,20.3,5.6
2023-08-11,31.7,26.2,6.2
2023-08-12,31.5,24.0,6.3
2023-08-13,27.7,23.3,0
2023-08-14,29.6,24.5,1.8
2023-08-15,30.9,26.8,0.9
2023-08-16,33.3,26.1,9.3
2023-08-17,32.6,26.2,3.4
2023-08-18,33.0,25.5,7.5
2023-08-19,28.3,24.2,0
2023-08-20,29.0,23.7,3.1
2023-08-21,30.5,21.9,3.2
2023-08-22,28.1,22.0,4.6
2023-08-23,30.3,25.3,5.9
2023-08-24,28.9,23.9,0
2023-08-25,32.0,26.4,4.9
2023-08-26,26.6,18.8,0
2023-08-27,27.0,18.2,0
2023-08-28,26.3,20.2,3.1
2023-08-29,29.2,20.5,6.6
2023-08-30,25.9,17.0,7.8
2023-08-31,25.2,20.9,8.6
2023-09-01,30.3,21.9,5.2
2023-09-02,28.9,19.9,7.9
2023-09-03,24.9,16.2,0.8
2023-09-04,28.6,24.4,0.0
2023-09-05,25.8,20.1,0
2023-09-06,24.2,20.2,2.0
2023-09-07,29.5,24.9,8.5
2023-09-08,29.3,24.3,0
2023-09-09,28.1,21.9,11.7
2023-09-10,22.5,16.1,0
2023-09-11,23.3,17.5,12.7
2023-09-12,28.0,23.8,0
2023-09-13,26.8,22.6,8.8
2023-09-14,21.5,17.2,7.1
2023-09-15,26.2,17.7,0.8
2023-09-16,23.1,17.7,11.0
2023-09-17,22.4,14.8,0.8
2023-09-18,22.5,17.1,13.1
2023-09-19,26.5,19.3,3.2
2023-09-20,26.4,22.3,3.7
2023-09-21,26.2,17.4,9.8
2023-09-22,22.0,16.7,0
2023-09-23,25.5,20.6,6.0
2023-09-24,24.4,16.7,7.6
2023-09-25,22.8,17.2,0
2023-09-26,20.5,14.7,3.5
2023-09-27,19.4,11.6,0.6
2023-09-28,19.5,15.2,10.4
2023-09-29,19.8,10.9,4.6
2023-09-30,23.4,14.5,2.8
2023-10-01,17.7,11.2,5.5
2023-10-02,21.7,15.5,3.6
2023-10-03,20.8,13.4,9.2
2023-10-04,21.4,13.2,1.4
2023-10-05,21.8,16.3,0.4
2023-10-06,19.6,13.7,2.7
2023-10-07,17.1,11.9,0
2023-10-08,16.2,7.8,0
2023-10-09,17.6,8.6,0.5
2023-10-10,18.1,12.9,6.1
2023-10-11,21.2,16.7,0
2023-10-12,17.3,9.2,10.2
2023-10-13,14.0,8.5,0
2023-10-14,14.3,9.4,10.8
2023-10-15,19.7,13.8,1.7
2023-10-16,19.0,12.8,2.3
2023-10-17,19.3,14.8,13.4
2023-10-18,16.5,9.4,4.2
2023-10-19,13.1,8.1,8.6
2023-10-20,13.6,6.6,0.7
2023-10-21,11.6,6.0,0
2023-10-22,16.0,11.1,1.5
2023-10-23,16.6,9.9,6.7
2023-10-24,11.2,6.7,0
2023-10-25,14.9,10.4,7.6
2023-10-26,11.3,3.8,0
2023-10-27,12.0,3.2,5.6
2023-10-28,11.8,5.0,0
2023-10-29,15.4,6.4,7.9
2023-10-30,11.6,6.6,2.4
2023-10-31,8.9,0.4,0
2023-11-01,11.5,3.4,0
2023-11-02,11.5,6.7,9.9
2023-11-03,8.1,1.3,0
2023-11-04,8.4,1.3,0
2023-11-05,10.1,3.6,6.0
2023-11-06,10.9,2.3,6.9
2023-11-07,7.7,1.2,8.3
2023-11-08,8.1,3.5,0
2023-11-09,13.1,4.2,1.0
2023-11-10,12.7,6.8,3.2
2023-11-11,12.3,5.2,4.6
2023-11-12,11.2,6.1,0
2023-11-13,8.3,0.1,4.8
2023-11-14,6.7,0.7,0
2023-11-15,8.6,2.7,6.2
2023-11-16,9.8,1.3,6.2
2023-11-17,4.8,-2.0,3.1
2023-11-18,10.1,5.5,1.3
2023-11-19,8.2,1.4,0
2023-11-20,6.7,-0.2,0
2023-11-21,6.5,-0.8,0
2023-11-22,3.5,-3.6,5.1
2023-11-23,6.5,1.3,3.9
2023-11-24,6.1,1.2,0
2023-11-25,6.0,1.5,7.4
2023-11-26,3.1,-3.1,7.6
2023-11-27,5.8,1.6,1.4
2023-11-28,7.2,-0.7,1.1
2023-11-29,5.4,1.1,0
2023-11-30,8.3,3.6,2.9
2023-12-01,7.4,-1.6,1.8
2023-12-02,2.6,-6.3,0
2023-12-03,4.5,-4.3,6.1
2023-12-04,6.3,-2.4,1.2
2023-12-05,1.1,-4.7,3.1
2023-12-06,6.7,1.3,0
2023-12-07,6.0,1.3,0
2023-12-08,1.6,-3.7,2.8
2023-12-09,3.5,-2.1,6.7
2023-12-10,0.9,-7.8,3.9
2023-12-11,4.4,-4.1,8.1
2023-12-12,0.2,-6.5,12.2
2023-12-13,3.7,-2.1,8.3
2023-12-14,3.2,-5.2,0
2023-12-15,-0.3,-9.3,0
2023-12-16,4.4,-0.9,0
2023-12-17,5.6,-1.3,0
2023-12-18,1.6,-3.3,10.9
2023-12-19,3.6,-0.6,4.9
2023-12-20,2.8,-6.1,0
2023-12-21,2.3,-5.0,2.9
2023-12-22,-1.7,-6.4,3.3
2023-12-23,2.2,-4.0,0
2023-12-24,-1.3,-6.4,2.0
2023-12-25,2.3,-1.8,8.6
2023-12-26,-1.6,-7.4,3.1
2023-12-27,-0.9,-7.8,0
2023-12-28,1.8,-4.6,0.8
2023-12-29,-1.7,-10.4,3.1
2023-12-30,-2.1,-9.3,6.4
2023-12-31,3.3,-4.6,0
