タイトル,NDC分類,NDC分類名,ページ数,著者名,刊行年月日,購入年月日,去年の貸出数,縦(mm),横(mm),厚み(mm),重さ(g),蔵書数,巻数,出版社
図書_3124,548,情報工学,237,吉田 浩二,1960/6/9,1960/7/23,4,249,184,25,1116,1,,幻冬舎
The wild road,983,スカンジナビア文学,509,Christopher King,1998/11/2,1999/3/13,11,184,132,41,947,1,,早川書房
横浜の桜の頃,929,中国文学・小説,275,清水 拓哉,2006/11/16,2007/10/10,8,180,127,23,501,1,,ミネルヴァ書房
鎌倉の文月,916,日本文学・記録・手記,285,林 三郎,1984/8/9,1984/10/29,21,177,127,23,466,1,,ハヤカワ書房
図書_2346,540,電気工学,300,小林 正樹,2007/5/15,2007/7/7,7,221,170,32,1063,1,,オーム社
川と東洋思想,120,東洋思想,194,吉田 大輔,2017/2/7,2017/10/9,14,263,176,21,981,1,,ハヤカワ書房
窓の伝説 8巻,914,日本文学・随筆,306,菅原 典子,2010/12/13,2011/3/19,4,179,131,25,599,2,8,東京創元社
図書_2227,840,ドイツ語,193,菊地 京子,2023/5/14,2024/6/28,15,204,148,24,790,1,,講談社
図書_3675,450,地球科学,192,遠藤 次郎,1975/4/7,1975/5/25,7,258,176,27,1086,1,,技術評論社
図書_2465,160,宗教総記,284,田中 誠,2001/12/21,2002/11/6,7,177,102,30,451,1,,文藝春秋
図書_3563,460,生物科学,273,阿部 敦,2005/5/17,2005/9/7,14,218,165,32,1053,1,,偕成社
図書_4904,160,宗教総記,281,西田 京子,2022/3/19,2022/12/12,3,213,146,28,857,1,,中央公論新社
時間の向こうに,914,日本文学・随筆,287,遠藤 典子,1971/1/24,1971/10/29,11,175,119,26,500,1,,吉川弘文館
心の伝説 4巻,933,英米文学・小説,402,Linda Jackson,2014/7/3,2014/12/30,8,179,131,41,819,1,4,岩波書店
小さな手紙シリーズ 3巻,913,日本文学・小説,284,平野 葵,2013/10/14,2013/12/1,4,145,108,27,347,1,3,ハヤカワ書房
図書_4037,520,建築学,359,工藤 典子,1991/1/16,1991/7/2,8,255,185,41,1663,1,,有斐閣
少女と江戸,280,伝記,271,渡辺 恵子,2004/12/2,2005/1/14,13,171,101,30,603,1,,中央公論新社
空のかけら,913,日本文学・小説,516,山本 由美,2019/2/27,2020/2/28,13,150,107,38,564,1,,オーム社
図書_2770,540,電気工学,349,大野 美咲,2017/2/7,2017/6/28,25,171,105,35,577,1,,文藝春秋
医者と窓,914,日本文学・随筆,450,近藤 博,1967/12/10,1968/3/24,6,150,105,32,409,1,,翔泳社
詳解電気工学,540,電気工学,301,藤原 恵子,2023/2/2,2024/2/1,8,214,161,32,944,1,,ハヤカワ書房
小さな川譚,916,日本文学・記録・手記,331,井上 誠,2016/1/17,2016/5/26,6,219,150,38,1089,1,,翔泳社
画家と月,913,日本文学・小説,277,石川 雄一,2019/6/6,2020/2/15,55,150,105,17,242,1,,朝倉書店
図書_3755,510,土木工学,447,木村 理恵,2018/3/7,2018/4/30,21,171,102,41,642,1,,技術評論社
図書_2761,490,医学,401,西田 博,2011/2/15,2011/2/24,13,177,104,40,653,1,,ミネルヴァ書房
夢王国 3巻,933,英米文学・小説,347,Richard Martin,2019/1/5,2019/5/1,13,151,107,25,393,2,3,祥伝社
少女と昭和,240,アフリカ史,249,中村 史郎,1978/4/20,1978/6/16,8,265,190,31,1433,1,,日本評論社
作家の砂,913,日本文学・小説,613,三浦 一朗,2009/8/2,2009/9/19,11,148,106,53,708,1,,朝倉書店
図書_2534,390,国防・軍事,202,林 浩二,1966/2/26,1966/9/4,19,178,105,23,386,1,,小学館
機械工学の基礎,530,機械工学,368,三浦 敦,2014/10/23,2014/11/4,4,261,186,44,1905,1,,吉川弘文館
図書_1834,490,医学,427,前田 太郎,2013/10/27,2014/3/1,12,224,140,48,1389,1,,ハヤカワ書房
図書_2259,490,医学,141,菊地 咲,1982/7/10,1982/10/26,5,256,185,14,638,1,,ハヤカワ書房
図書_1698,40,一般論文集,411,斎藤 翔,2006/3/20,2006/9/23,11,257,180,57,2333,1,,技術評論社
海と嘘 4巻,913,日本文学・小説,284,平野 文子,2011/9/9,2012/1/28,8,150,103,22,318,1,4,角川書店
図書_3893,540,電気工学,355,山口 葵,1974/3/27,1974/10/25,11,173,105,34,547,1,,弘文堂
谷と信頼,913,日本文学・小説,235,岩田 奈々,2004/3/3,2004/7/20,3,219,175,25,878,1,,有斐閣
彼女の扉,913,日本文学・小説,396,菅原 太郎,2009/8/28,2010/3/27,9,203,136,44,1584,1,,幻冬舎
言葉と教育学,370,教育学,165,中村 浩二,2012/10/3,2013/1/13,7,187,133,15,350,1,,講談社
明るい風シリーズ 1巻,913,日本文学・小説,492,岡田 咲,2012/2/13,2012/6/17,6,189,132,41,948,2,1,早川書房
探偵と古代,250,北アメリカ史,421,前田 慎吾,2010/10/28,2010/11/23,9,170,104,40,686,1,,有斐閣
図書_4352,420,物理学,260,斎藤 光,1981/6/5,1981/7/30,16,221,155,28,910,1,,オーム社
大阪の少女,914,日本文学・随筆,239,三浦 博,2020/12/9,2021/11/2,3,148,109,20,298,1,,ハヤカワ書房
光と秘密,913,日本文学・小説,394,藤原 裕子,2003/3/13,2003/6/13,15,180,133,36,748,1,,勁草書房
図書_2902,550,海洋工学,534,井上 浩二,2021/3/14,2021/5/3,10,253,186,77,3074,1,,有斐閣
あの冬の太陽,914,日本文学・随筆,305,西田 光,2001/8/12,2002/6/14,22,213,150,38,1066,1,,オーム社
図書_4282,480,動物学,306,藤原 慎吾,2022/4/14,2023/6/20,9,263,171,28,1150,1,,ポプラ社
The silent dream,973,ドイツ文学・小説,321,Sandra Evans,2007/6/14,2007/7/20,22,181,130,31,619,1,,丸善
鍵と恐怖 1巻,933,英米文学・小説,276,Jennifer White,2018/4/17,2018/9/29,16,148,108,22,319,2,1,丸善
北海道の文月,913,日本文学・小説,573,岩田 裕子,2013/12/18,2014/6/5,7,228,165,53,1841,1,,翔泳社
言葉と英語学,830,英語,369,三浦 由美,2020/5/25,2020/11/5,10,180,128,39,851,1,,新潮社
図書_2590,410,数学,293,遠藤 由美,2018/8/17,2019/11/11,22,181,103,29,460,1,,幻冬舎
言葉を探して,930,英米文学総記,355,Nancy Wright,1966/3/26,1966/5/21,14,143,111,27,399,1,,日本評論社
図書_4304,548,情報工学,321,遠藤 光,2011/6/9,2011/9/15,6,260,174,40,1593,1,,技術評論社
あの梅雨の海,913,日本文学・小説,250,前田 莉子,2012/9/24,2012/10/23,24,150,103,18,238,1,,技術評論社
生物学演習,460,生物科学,340,藤井 純,1966/12/15,1967/5/21,9,210,147,40,1098,1,,集英社
侍女と手紙,913,日本文学・小説,255,阿部 拓哉,2018/7/21,2018/10/23,7,185,130,26,588,1,,ポプラ社
図書_3911,420,物理学,377,田中 花子,1971/10/26,1973/1/7,3,221,170,36,1211,1,,吉川弘文館
詳解土木工学,510,土木工学,384,橋本 一朗,2023/2/20,2023/4/13,3,263,178,41,1732,1,,集英社
熊本の冬,914,日本文学・随筆,140,小川 葵,2019/6/5,2019/7/10,22,180,123,12,304,1,,偕成社
小さな西洋哲学,130,西洋哲学,423,青木 香織,2001/2/11,2001/6/13,9,211,150,53,1524,1,,小学館
化学工業の謎を解く,570,化学工業,309,渡辺 敦,2011/1/22,2011/2/26,11,254,180,41,1670,1,,技術評論社
魔女と明治,200,歴史総記,288,小林 颯,2020/2/28,2020/3/12,3,209,149,37,1085,1,,朝倉書店
谷と友情 4巻,914,日本文学・随筆,394,木村 隆,2017/1/6,2017/6/10,5,174,126,36,675,2,4,技術評論社
図書_2429,410,数学,484,村上 花子,2022/9/21,2023/5/31,9,254,179,55,2182,1,,幻冬舎
悲しい霧シリーズ 1巻,933,英米文学・小説,278,Susan Hall,2011/8/8,2011/11/1,17,226,145,30,854,2,1,オーム社
The dark forest,933,英米文学・小説,340,Karen Young,2022/4/10,2022/6/11,17,147,105,27,388,1,,祥伝社
A forgotten sky,973,ドイツ文学・小説,314,Betty Adams,1994/5/19,1994/11/3,7,149,105,30,420,1,,技術評論社
火の伝説 2巻,913,日本文学・小説,550,杉山 拓哉,2007/8/3,2007/12/25,7,201,156,58,1727,1,2,早川書房
北海道の博士,913,日本文学・小説,350,小川 誠,2017/8/28,2018/1/4,8,221,148,34,976,1,,偕成社
輝く光,930,英米文学総記,255,Joseph Allen,2013/4/7,2013/5/5,12,149,105,18,259,1,,吉川弘文館
弱いキリスト教学,190,キリスト教,354,藤原 和子,1989/10/10,1989/11/28,11,236,151,35,1132,1,,翔泳社
小さな声,929,中国文学・小説,442,村上 理恵,2014/3/13,2014/4/17,5,180,128,40,929,1,,丸善
ぼくの嵐,913,日本文学・小説,353,青木 三郎,2005/12/28,2006/6/28,13,208,141,39,1048,1,,文藝春秋
探偵の橋,914,日本文学・随筆,316,杉山 浩二,2011/6/2,2011/7/4,3,213,149,33,984,1,,光文社
図書_3953,420,物理学,378,松本 文子,2002/2/2,2002/10/29,5,231,171,35,1193,1,,東京創元社
あの春の魂,913,日本文学・小説,390,松本 颯,1998/8/6,1998/9/15,23,177,129,36,774,1,,中央公論新社
孤独な太陽シリーズ 2巻,933,英米文学・小説,334,Christopher King,2015/4/27,2015/9/4,7,222,141,37,1039,2,2,新潮社
松山の霜月,913,日本文学・小説,389,佐藤 由美,2021/12/8,2022/4/11,21,223,149,46,1424,1,,技術評論社
ぼくの樹,913,日本文学・小説,260,村上 博,1998/3/28,1998/4/2,14,222,153,27,829,1,,小学館
冷たい知識,790,諸芸・娯楽,264,中村 典子,2018/9/21,2019/2/22,9,212,177,26,1102,1,,早川書房
強い太陽シリーズ 4巻,913,日本文学・小説,305,三浦 純,1997/1/10,1997/4/14,4,147,99,25,321,2,4,丸善
図書_2088,480,動物学,314,石川 直子,1978/11/26,1979/4/11,3,170,108,29,429,1,,ミネルヴァ書房
透明な哲学,100,哲学総記,237,今井 香織,2019/11/8,2020/2/25,8,233,157,30,1053,1,,光文社
図書_2233,430,化学,403,杉山 咲,1994/9/23,1995/1/16,6,253,186,47,1969,1,,偕成社
魔法の谷 1巻,914,日本文学・随筆,240,青木 史郎,2012/4/26,2012/6/16,13,185,125,24,471,1,1,ポプラ社
魔法の扉 1巻,933,英米文学・小説,304,Dorothy Carter,2008/8/2,2008/10/3,5,184,130,31,661,1,1,東京創元社
図書_2360,750,工芸,176,藤井 恵子,1983/2/20,1983/5/11,3,235,150,18,586,1,,中央公論新社
図書_2697,510,土木工学,329,吉田 次郎,1978/12/7,1979/6/24,4,251,182,41,1659,1,,集英社
窓と知識,710,彫刻,358,小林 大輔,2020/6/23,2021/4/2,11,189,130,28,626,1,,オーム社
図書_3843,430,化学,429,阿部 理恵,2012/11/13,2013/2/8,10,179,105,45,751,1,,祥伝社
夜の時間,913,日本文学・小説,204,山本 大輔,2023/9/9,2023/10/25,3,184,127,16,375,1,,中央公論新社
影と倫理学,150,倫理学,422,佐藤 美咲,1987/3/3,1987/11/16,7,232,139,54,1589,1,,文藝春秋
応用植物学,470,植物学,400,池田 颯,2021/9/26,2022/5/6,4,224,154,47,1440,1,,朝倉書店
ぼくらの太陽 12巻,913,日本文学・小説,293,藤原 典子,2011/6/15,2011/8/27,5,145,106,25,484,1,12,吉川弘文館
あの夜の石,916,日本文学・記録・手記,284,平野 光,2013/10/11,2013/11/4,15,186,129,23,496,1,,翔泳社
夢と英語学,830,英語,266,遠藤 拓哉,1985/7/18,1985/8/2,6,170,107,26,429,1,,日本評論社
地球科学の謎を解く,450,地球科学,455,小川 正樹,2005/11/25,2006/3/23,10,169,105,36,563,1,,講談社
青い心理学,140,心理学,294,小林 凛,1995/5/18,1995/11/20,6,206,147,35,1033,1,,新潮社
道と知識,80,叢書,242,橋本 拓哉,2012/1/9,2012/8/5,10,215,138,26,740,1,,光文社
美しい扉シリーズ 2巻,913,日本文学・小説,405,平野 拓哉,2014/4/30,2014/8/11,7,178,130,37,771,1,2,PHP研究所
図書_3577,540,電気工学,250,渡辺 光,2023/3/11,2024/2/18,6,171,106,29,451,1,,幻冬舎
画家と海,914,日本文学・随筆,371,渡辺 典子,1995/9/19,1995/9/28,5,144,103,30,383,1,,勁草書房
図書_4790,490,医学,424,近藤 美咲,2018/3/20,2018/8/16,8,221,149,44,1312,1,,中央公論新社
図書_4447,770,演劇,290,山口 誠,2020/9/2,2021/11/17,7,231,142,32,995,1,,集英社
land of Prague,933,英米文学・小説,229,Thomas Moore,1966/11/4,1967/5/1,8,149,107,19,253,1,,ハヤカワ書房
北海道の弥生,914,日本文学・随筆,231,近藤 莉子,2018/7/14,2019/8/11,8,178,126,21,429,1,,中央公論新社
図書_3601,700,芸術総記,203,近藤 理恵,2018/5/21,2018/11/21,10,181,134,15,337,1,,早川書房
苦い倫理学,150,倫理学,301,村上 雄一,2011/11/20,2012/2/7,13,259,181,32,1369,1,,岩波書店
鍵と西洋哲学,130,西洋哲学,437,石川 太郎,1983/11/20,1984/8/11,6,267,181,50,2272,1,,福音館書店
仏教学入門,180,仏教,417,池田 太郎,1980/7/7,1980/7/19,5,227,133,48,1535,1,,講談社
嵐と社会学,360,社会学,321,村上 光,2012/12/13,2014/2/12,13,205,158,37,1218,1,,ポプラ社
風と喜び 6巻,914,日本文学・随筆,251,青木 隆,2017/9/7,2018/1/12,3,188,124,24,531,3,6,中央公論新社
武士の嵐,913,日本文学・小説,157,近藤 理恵,2016/3/27,2017/10/25,14,150,105,11,173,1,,オーム社
図書_2047,540,電気工学,435,平野 花子,2019/4/15,2019/9/4,8,173,104,41,683,1,,集英社
重い霧譚,913,日本文学・小説,282,山本 三郎,1986/1/6,1987/2/1,13,180,124,20,386,1,,朝倉書店
明治のアジア史,220,アジア史,262,平野 健一,2005/10/4,2005/11/1,10,165,105,27,415,1,,光文社
図書_2748,410,数学,228,佐藤 京子,2015/9/25,2015/11/8,5,174,105,24,380,1,,弘文堂
遠い写真,740,写真,322,佐藤 直子,2011/2/10,2011/5/30,6,179,110,35,828,1,,勁草書房
革命家と昭和,240,アフリカ史,375,小林 咲,1993/9/26,1993/10/18,8,263,178,43,1805,1,,ミネルヴァ書房
あの霜月の雨,916,日本文学・記録・手記,301,福田 凛,2017/7/26,2019/3/6,8,154,103,21,280,1,,丸善
あの木枯らしの泉,913,日本文学・小説,158,石川 美咲,2016/10/10,2016/11/26,8,149,105,15,219,1,,岩波書店
現代電気工学,540,電気工学,476,柴田 純,2008/12/23,2009/1/9,16,204,158,52,1553,1,,勁草書房
赤い心理学,140,心理学,293,西田 凛,1991/9/6,1992/6/7,5,216,139,28,845,1,,祥伝社
東京の博士,913,日本文学・小説,396,平野 翔,1985/3/9,1985/9/6,16,229,146,45,1403,1,,技術評論社
熱い英語学,830,英語,275,吉田 由美,1995/4/22,1995/12/2,8,181,127,21,504,1,,丸善
魔法の丘 9巻,913,日本文学・小説,340,田中 蓮,2010/4/30,2010/6/7,6,186,129,27,590,2,9,福音館書店
暗い記憶,914,日本文学・随筆,286,青木 次郎,1988/6/10,1989/3/27,4,150,102,28,371,1,,日本評論社
泉と英語学,830,英語,356,青木 恵子,2015/10/26,2016/2/4,13,146,106,25,338,1,,ポプラ社
優しい法律学,320,法律,230,藤井 敦,1971/11/24,1973/9/29,8,182,120,16,339,1,,勁草書房
小さな日本語学,810,日本語,295,工藤 光,1995/3/2,1996/11/20,7,177,134,24,591,1,,ハヤカワ書房
化学の謎を解く,430,化学,293,岩田 京子,2006/3/1,2007/1/3,15,174,102,34,521,1,,岩波書店
図書_4060,460,生物科学,420,村上 裕子,1954/6/10,1956/2/11,3,262,182,52,2151,1,,PHP研究所
図書_3974,510,土木工学,194,西村 和子,1994/11/13,1995/4/30,9,266,179,23,989,1,,幻冬舎
あの夜の言葉,913,日本文学・小説,313,木村 咲,1998/5/27,1998/6/15,6,149,110,29,422,1,,角川書店
那覇の夜,914,日本文学・随筆,329,小川 京子,2008/3/9,2009/2/2,16,232,163,36,1227,1,,光文社
図書_3559,790,諸芸・娯楽,273,井上 奈々,1963/12/23,1964/3/30,3,177,101,26,420,1,,偕成社
図書_4263,380,民俗学,281,阿部 健一,2022/5/16,2022/6/4,8,183,137,25,566,1,,中央公論新社
空と絶望 1巻,933,英米文学・小説,325,Laura Davis,2003/9/10,2004/2/3,12,150,108,22,332,2,1,新潮社
優しい知識,340,財政学,241,石川 光,1965/11/9,1966/3/24,7,241,137,28,926,1,,翔泳社
Amelia's night,933,英米文学・小説,299,Daniel Scott,1986/8/15,1986/9/1,15,149,110,24,351,1,,ハヤカワ書房
図書_2715,440,天文学,340,阿部 浩二,2000/1/13,2000/4/5,13,178,105,34,540,1,,東京創元社
太陽の伝説 6巻,914,日本文学・随筆,265,木村 湊,2011/10/27,2012/2/4,5,191,127,22,482,1,6,双葉社
花の伝説 2巻,913,日本文学・小説,181,小林 次郎,1996/10/8,1996/12/12,5,153,103,14,213,2,2,翔泳社
新しい政治学,310,政治学,504,西村 陽,2019/1/6,2019/1/28,8,178,108,50,834,1,,偕成社
図書_3309,510,土木工学,541,藤井 葵,1987/4/27,1987/11/15,8,178,101,47,773,1,,講談社
暗い魂譚,929,中国文学・小説,489,山田 浩二,2004/2/3,2005/4/27,7,152,104,34,466,1,,勁草書房
図書_4023,548,情報工学,274,山口 香織,1994/5/23,1994/6/29,3,265,186,39,1726,1,,弘文堂
霧と謎,913,日本文学・小説,406,福田 莉子,2020/5/12,2020/8/24,4,178,136,33,746,1,,ハヤカワ書房
あの秋の影,914,日本文学・随筆,470,福田 翔,1982/5/10,1982/6/5,4,235,151,52,1635,1,,弘文堂
透明な光,913,日本文学・小説,211,三浦 颯,2017/5/3,2017/5/5,6,148,108,23,304,1,,小学館
図書_2986,460,生物科学,221,今井 健一,1982/4/22,1983/1/29,7,254,175,33,1298,1,,ミネルヴァ書房
図書_4346,450,地球科学,407,阿部 京子,2021/4/7,2021/11/7,9,255,176,51,2006,1,,文藝春秋
風と恐怖 9巻,913,日本文学・小説,233,石川 莉子,2009/10/5,2010/3/6,3,220,155,29,925,1,9,幻冬舎
雪と絵画・美術,720,絵画,388,伊藤 慎吾,2019/11/5,2020/3/23,7,208,143,41,1138,1,,東京創元社
海と日本語学,810,日本語,314,山田 正樹,2020/5/21,2020/11/17,6,153,105,18,275,1,,オーム社
小さな橋シリーズ 5巻,914,日本文学・随筆,253,小林 健一,2015/1/1,2015/3/2,4,152,103,20,314,3,5,ハヤカワ書房
冷たい太陽シリーズ 1巻,913,日本文学・小説,516,原田 大輔,2008/6/9,2008/10/5,9,179,126,45,893,1,1,技術評論社
図書_1859,390,国防・軍事,411,伊藤 蓮,1982/9/23,1982/10/25,10,170,104,42,644,1,,有斐閣
空と東洋思想,120,東洋思想,378,近藤 一朗,1998/5/16,1999/2/16,3,171,99,32,506,1,,福音館書店
雨の伝説 8巻,913,日本文学・小説,321,村上 光,2014/8/16,2014/12/12,4,184,133,30,701,1,8,ポプラ社
sea of Athens,933,英米文学・小説,400,Nancy Wright,1999/7/9,2000/5/18,9,148,110,32,418,1,,日本評論社
情報学の世界,0,総記,308,小林 京子,1998/1/15,1998/7/11,8,212,158,27,1247,1,,光文社
図書_4920,480,動物学,414,土屋 直子,2006/6/5,2006/8/7,5,206,160,40,1196,1,,丸善
Beyond the city,933,英米文学・小説,351,Karen Young,2014/7/5,2015/1/4,10,233,146,36,1069,1,,中央公論新社
魔法の丘 7巻,913,日本文学・小説,363,田中 蓮,2006/12/3,2007/2/7,6,149,103,32,424,2,7,福音館書店
長い橋譚,913,日本文学・小説,337,菊地 蓮,2023/2/13,2023/3/27,4,172,131,33,677,1,,幻冬舎
図書_2901,540,電気工学,371,田中 一朗,1992/4/14,1992/6/11,16,234,142,44,1307,1,,偕成社
A dark shadow,933,英米文学・小説,281,Dorothy Carter,2019/3/2,2019/12/18,8,220,171,28,989,1,,講談社
日本語学のすすめ,810,日本語,165,田中 直子,2010/7/9,2010/10/3,22,154,105,13,205,1,,講談社
道のかけら,913,日本文学・小説,289,三浦 文子,2023/11/5,2024/1/7,52,185,122,25,520,1,,ミネルヴァ書房
深い倫理学,150,倫理学,352,佐藤 理恵,1970/1/12,1970/9/17,8,169,105,35,552,1,,偕成社
魔女と嵐,930,英米文学総記,263,James Wilson,1997/6/8,1997/6/26,13,153,110,18,298,1,,集英社
図書_3040,440,天文学,252,池田 理恵,2013/7/15,2013/8/20,5,174,102,24,382,1,,翔泳社
図書_3331,80,叢書,329,大野 太郎,2002/3/15,2002/8/26,13,170,103,29,516,1,,文藝春秋
forest of London,933,英米文学・小説,366,Betty Adams,1980/8/25,1981/3/22,10,182,125,39,794,1,,技術評論社
鎌倉の弥生,913,日本文学・小説,376,井上 颯,1982/5/4,1983/6/20,8,181,132,32,787,1,,日本評論社
小さな川,913,日本文学・小説,272,福田 蓮,1982/8/22,1983/7/8,12,150,104,19,311,1,,幻冬舎
図書_2194,490,医学,358,橋本 史郎,2016/8/17,2017/8/8,4,172,107,33,555,1,,講談社
姫と平安,220,アジア史,263,橋本 慎吾,1978/2/7,1978/5/19,11,169,106,23,385,1,,文藝春秋
青い花,913,日本文学・小説,280,斎藤 和子,1983/11/12,1984/4/11,9,149,106,18,312,1,,集英社
魔法の火 9巻,913,日本文学・小説,404,柴田 典子,2001/4/20,2001/5/31,3,150,106,26,373,1,9,勁草書房
声の伝説 8巻,913,日本文学・小説,189,遠藤 隆,2008/11/23,2008/12/15,3,223,151,19,593,2,8,ミネルヴァ書房
心と哲学,100,哲学総記,314,西村 翔,1966/2/18,1966/2/27,3,254,183,40,1720,1,,技術評論社
図書_2394,560,金属工学,284,山口 恵子,2003/12/18,2004/7/3,17,262,184,33,1502,1,,中央公論新社
函館の春,913,日本文学・小説,358,鈴木 恵子,2013/2/19,2013/4/9,10,150,103,30,409,1,,オーム社
重い光譚,913,日本文学・小説,281,土屋 颯,2017/2/17,2017/10/11,9,148,105,19,258,1,,祥伝社
図書_2690,460,生物科学,291,福田 三郎,2022/4/10,2022/4/18,27,245,185,37,1483,1,,集英社
那覇の少女,913,日本文学・小説,367,松本 博,2018/11/4,2019/4/2,20,179,125,32,593,1,,中央公論新社
青い道譚,913,日本文学・小説,332,渡辺 湊,2020/6/4,2020/8/12,27,150,100,22,339,1,,角川書店
霧と奇跡 6巻,933,英米文学・小説,271,Betty Adams,2007/8/20,2008/2/2,5,213,158,30,1079,1,6,技術評論社
図書_4172,10,図書館学,593,福田 慎吾,2007/4/23,2007/11/16,17,172,107,60,935,1,,集英社
mountain of Paris,933,英米文学・小説,252,Betty Adams,2012/1/12,2012/8/16,7,180,120,26,532,1,,技術評論社
応用電気工学,540,電気工学,371,木村 咲,1971/4/15,1971/6/29,11,174,105,35,568,1,,角川書店
強い太陽シリーズ 6巻,913,日本文学・小説,358,三浦 純,1999/10/16,1999/11/5,3,186,127,39,787,1,6,丸善
図書_3739,410,数学,338,吉田 慎吾,2018/4/16,2018/7/31,9,224,139,34,933,1,,福音館書店
石と未来,913,日本文学・小説,179,藤井 翔,2020/9/14,2021/4/20,26,228,177,17,664,1,,東京創元社
図書_1865,820,中国語,268,菅原 京子,2002/7/16,2002/7/19,13,146,106,20,337,1,,オーム社
図書_3025,548,情報工学,435,近藤 湊,1966/6/24,1966/9/20,15,254,185,49,2037,1,,ミネルヴァ書房
山と奇跡,913,日本文学・小説,404,木村 健一,1984/10/21,1985/5/8,9,151,101,31,411,1,,ハヤカワ書房
応用機械工学,530,機械工学,334,藤原 一朗,1989/10/25,1990/11/25,12,214,146,34,1049,1,,弘文堂
月の伝説 4巻,913,日本文学・小説,360,村上 典子,2014/12/7,2015/1/14,4,150,109,29,467,1,4,光文社
心と教育学,370,教育学,260,福田 文子,2002/10/9,2003/4/10,5,186,123,22,447,1,,技術評論社
よくわかる地球科学,450,地球科学,204,橋本 奈々,1992/1/10,1993/4/27,7,263,183,23,1048,1,,有斐閣
谷と経済学,330,経済学,191,西村 凛,2007/12/12,2008/5/18,6,173,102,19,287,1,,朝倉書店
画家と現代,250,北アメリカ史,516,吉田 慎吾,2013/10/28,2013/11/14,8,249,183,60,2477,1,,福音館書店
