date,emp_01,emp_02,emp_03,emp_04,emp_05,emp_06,emp_07,emp_08,emp_09,emp_10,emp_11,emp_12
2024/11/20,1,1,1,0,1,0,0,0,0,1,0,0
2024/11/21,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/22,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/23,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/24,0,0,0,0,0,0,0,0,0,0,0,0
2024/11/25,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/26,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/27,1,1,1,0,1,0,0,0,0,1,0,0
2024/11/28,1,1,1,1,1,0,0,0,0,0,0,0
2024/11/29,1,1,1,1,1,0,0,0,0,1,0,0
2024/11/30,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/1,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/2,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/3,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/4,1,1,1,0,1,0,0,0,0,1,0,0
2024/12/5,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/6,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/7,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/8,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/9,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/10,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/11,1,1,1,0,1,0,0,0,0,1,0,0
2024/12/12,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/13,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/14,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/15,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/17,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/18,1,1,1,0,1,0,0,0,0,1,0,0
2024/12/19,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/20,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/21,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/22,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/23,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/24,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/25,1,1,1,0,1,0,0,0,0,1,0,0
2024/12/26,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/27,1,1,1,1,1,0,0,0,0,1,0,0
2024/12/28,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/29,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/30,1,1,1,1,1,0,0,0,0,0,0,0
2024/12/31,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/1,1,1,1,0,1,0,0,0,0,0,0,0
2025/1/2,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/3,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/4,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/5,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/6,1,1,1,1,1,0,0,0,0,1,0,0
2025/1/7,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/8,1,1,1,0,1,0,0,0,0,1,0,0
2025/1/9,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/10,1,1,1,1,1,0,0,0,0,1,0,0
2025/1/11,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/12,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/13,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/14,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/15,1,1,1,0,1,0,0,0,0,1,0,0
2025/1/16,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/17,1,1,1,1,1,0,0,0,0,1,0,0
2025/1/18,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/19,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/20,1,1,1,1,1,0,0,0,0,1,0,0
2025/1/21,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/22,1,1,1,0,1,0,0,0,0,1,0,0
2025/1/23,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/24,1,1,1,1,1,0,0,0,0,1,0,0
2025/1/25,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/26,0,0,0,0,0,0,0,0,0,0,0,0
2025/1/27,1,1,1,1,1,0,0,0,0,1,0,0
2025/1/28,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/29,1,1,1,0,1,0,0,0,0,1,0,0
2025/1/30,1,1,1,1,1,0,0,0,0,0,0,0
2025/1/31,1,1,1,1,1,0,0,0,0,1,0,0
2025/2/1,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/2,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/3,1,1,1,1,1,0,0,0,0,1,0,0
2025/2/4,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/5,1,1,1,0,1,0,0,0,0,1,0,0
2025/2/6,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/7,1,1,1,1,1,0,0,0,0,1,0,0
2025/2/8,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/9,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/10,1,1,1,1,1,0,0,0,0,1,0,0
2025/2/11,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/12,1,1,1,0,1,0,0,0,0,1,0,0
2025/2/13,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/14,1,1,1,1,1,0,0,0,0,1,0,0
2025/2/15,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/16,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/17,1,1,1,1,1,0,0,0,0,1,0,0
2025/2/18,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/19,1,1,1,0,1,0,0,0,0,1,0,0
2025/2/20,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/21,1,1,1,1,1,0,0,0,0,1,0,0
2025/2/22,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/23,0,0,0,0,0,0,0,0,0,0,0,0
2025/2/24,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/25,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/26,1,1,1,0,1,0,0,0,0,1,0,0
2025/2/27,1,1,1,1,1,0,0,0,0,0,0,0
2025/2/28,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/1,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/2,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/3,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/4,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/5,1,1,1,0,1,0,0,0,0,1,0,0
2025/3/6,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/7,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/8,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/9,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/10,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/11,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/12,1,1,1,0,1,0,0,0,0,1,0,0
2025/3/13,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/14,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/15,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/16,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/17,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/18,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/19,1,1,1,0,1,0,0,0,0,1,0,0
2025/3/20,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/21,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/22,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/23,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/24,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/25,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/26,1,1,1,0,1,0,0,0,0,1,0,0
2025/3/27,1,1,1,1,1,0,0,0,0,0,0,0
2025/3/28,1,1,1,1,1,0,0,0,0,1,0,0
2025/3/29,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/30,0,0,0,0,0,0,0,0,0,0,0,0
2025/3/31,1,1,1,1,1,0,0,0,0,1,0,0
2025/4/1,1,1,1,1,1,0,0,1,0,0,0,0
2025/4/2,1,1,1,0,1,0,0,0,0,1,0,0
2025/4/3,1,1,1,1,1,0,0,0,0,0,0,0
2025/4/4,1,1,1,1,1,0,0,0,0,1,0,0
2025/4/5,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/6,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/7,1,1,1,1,1,0,0,1,0,1,0,0
2025/4/8,1,1,1,1,1,0,0,1,0,0,0,0
2025/4/9,1,1,1,0,1,0,0,0,0,1,0,0
2025/4/10,1,1,1,1,1,0,0,0,0,0,0,0
2025/4/11,1,1,1,1,1,0,0,0,0,1,0,0
2025/4/12,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/13,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/14,1,1,1,1,1,0,0,1,0,1,0,0
2025/4/15,1,1,1,1,1,0,0,1,0,0,0,0
2025/4/16,1,1,1,0,1,0,0,0,0,1,0,0
2025/4/17,1,1,1,1,1,0,0,0,0,0,0,0
2025/4/18,1,1,1,1,1,0,0,0,0,1,0,0
2025/4/19,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/20,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/21,1,1,1,1,1,0,0,1,0,1,0,0
2025/4/22,1,1,1,1,1,0,0,1,0,0,0,0
2025/4/23,1,1,1,0,1,0,0,0,0,1,0,0
2025/4/24,1,1,1,1,1,0,0,0,0,0,0,0
2025/4/25,1,1,1,1,1,0,0,0,0,1,0,0
2025/4/26,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/27,0,0,0,0,0,0,0,0,0,0,0,0
2025/4/28,1,1,1,1,1,0,0,1,0,1,0,0
2025/4/29,1,1,1,1,1,0,0,1,0,0,0,0
2025/4/30,1,1,1,0,1,0,0,0,0,1,0,0
2025/5/1,1,1,1,1,1,0,0,0,0,0,0,0
2025/5/2,1,1,1,1,1,0,0,0,0,1,0,0
2025/5/3,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/4,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/5,1,1,1,1,1,0,0,1,0,0,0,0
2025/5/6,1,1,1,1,1,0,0,1,0,0,0,0
2025/5/7,1,1,1,0,1,0,0,0,0,1,0,0
2025/5/8,1,1,1,1,1,0,0,0,0,0,0,0
2025/5/9,1,1,1,1,1,0,0,0,0,1,0,0
2025/5/10,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/11,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/12,1,1,1,1,1,0,0,1,0,1,0,0
2025/5/13,1,1,1,1,1,0,0,1,0,0,0,0
2025/5/14,1,1,1,0,1,0,0,0,0,1,0,0
2025/5/15,1,1,1,1,1,0,0,0,0,0,0,0
2025/5/16,1,1,1,1,1,0,0,0,0,1,0,0
2025/5/17,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/18,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/19,1,1,1,1,1,0,0,1,0,1,0,0
2025/5/20,1,1,1,1,1,0,0,1,0,0,0,0
2025/5/21,1,1,1,0,1,0,0,0,0,1,0,0
2025/5/22,1,1,1,1,1,0,0,0,0,0,0,0
2025/5/23,1,1,1,1,1,0,0,0,0,1,0,0
2025/5/24,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/25,0,0,0,0,0,0,0,0,0,0,0,0
2025/5/26,1,1,1,1,1,0,0,1,0,1,0,0
2025/5/27,1,1,1,1,1,0,0,1,0,0,0,0
2025/5/28,1,1,1,0,1,0,0,0,0,1,0,0
2025/5/29,1,1,1,1,1,0,0,0,0,0,0,0
2025/5/30,1,1,1,1,1,0,0,0,0,1,0,0
2025/5/31,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/1,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/2,1,1,1,1,1,0,0,1,0,1,0,0
2025/6/3,1,1,1,1,1,0,0,1,0,0,0,0
2025/6/4,1,1,1,0,1,0,0,0,0,1,0,0
2025/6/5,1,1,1,1,1,0,0,0,0,0,0,0
2025/6/6,1,1,1,1,1,0,0,0,0,1,0,0
2025/6/7,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/8,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/9,1,1,1,1,1,0,0,1,0,1,0,0
2025/6/10,1,1,1,1,1,0,0,1,0,0,0,0
2025/6/11,1,1,1,0,1,0,0,0,0,1,0,0
2025/6/12,1,1,1,1,1,0,0,0,0,0,0,0
2025/6/13,1,1,1,1,1,0,0,0,0,1,0,0
2025/6/14,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/15,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/16,1,1,1,1,1,0,0,1,0,1,0,0
2025/6/17,1,1,1,1,1,0,0,1,0,0,0,0
2025/6/18,1,1,1,0,1,0,0,0,0,1,0,0
2025/6/19,1,1,1,1,1,0,0,0,0,0,0,0
2025/6/20,1,1,1,1,1,0,0,0,0,1,0,0
2025/6/21,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/22,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/23,1,1,1,1,1,0,0,1,0,1,0,0
2025/6/24,1,1,1,1,1,0,0,1,0,0,0,0
2025/6/25,1,1,1,0,1,0,0,0,0,1,0,0
2025/6/26,1,1,1,1,1,0,0,0,0,0,0,0
2025/6/27,1,1,1,1,1,0,0,0,0,1,0,0
2025/6/28,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/29,0,0,0,0,0,0,0,0,0,0,0,0
2025/6/30,1,1,1,1,1,0,0,1,0,1,0,0
2025/7/1,1,1,1,1,1,0,1,1,1,0,1,1
2025/7/2,1,1,1,0,1,0,1,0,0,1,1,1
2025/7/3,1,1,1,1,1,0,1,0,0,0,1,1
2025/7/4,1,1,1,1,1,0,1,0,0,1,1,1
2025/7/5,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/6,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/7,1,1,1,1,1,0,1,1,1,1,1,1
2025/7/8,1,1,1,1,1,0,1,1,1,0,1,1
2025/7/9,1,1,1,0,1,0,1,0,0,1,1,1
2025/7/10,1,1,1,1,1,0,1,0,0,0,1,1
2025/7/11,1,1,1,1,1,0,1,0,0,1,1,1
2025/7/12,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/13,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/14,1,1,1,1,1,0,1,1,1,1,1,1
2025/7/15,1,1,1,1,1,0,1,1,1,0,1,1
2025/7/16,1,1,1,0,1,0,1,0,0,1,1,1
2025/7/17,1,1,1,1,1,0,1,0,0,0,1,1
2025/7/18,1,1,1,1,1,0,1,0,0,1,1,1
2025/7/19,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/20,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/21,1,1,1,1,1,0,1,1,1,0,1,1
2025/7/22,1,1,1,1,1,0,1,1,1,0,1,1
2025/7/23,1,1,1,0,1,0,1,0,0,1,1,1
2025/7/24,1,1,1,1,1,0,1,0,0,0,1,1
2025/7/25,1,1,1,1,1,0,1,0,0,1,1,1
2025/7/26,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/27,0,0,0,0,0,0,0,0,0,0,0,0
2025/7/28,1,1,1,1,1,0,1,1,1,1,1,1
2025/7/29,1,1,1,1,1,0,1,1,1,0,1,1
2025/7/30,1,1,1,0,1,0,1,0,0,1,1,1
2025/7/31,1,1,1,1,1,0,1,0,0,0,1,1
2025/8/1,1,1,1,1,1,0,1,0,0,1,1,1
2025/8/2,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/3,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/4,1,1,1,1,1,0,1,1,1,1,1,1
2025/8/5,1,1,1,1,1,0,1,1,1,0,1,1
2025/8/6,1,1,1,0,1,0,1,0,0,1,1,1
2025/8/7,1,1,1,1,1,0,1,0,0,0,1,1
2025/8/8,1,1,1,1,1,0,1,0,0,1,1,1
2025/8/9,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/10,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/11,1,1,1,1,1,0,1,1,1,0,1,1
2025/8/12,1,1,1,1,1,0,1,1,1,0,1,1
2025/8/13,1,1,1,0,1,0,1,0,0,1,1,1
2025/8/14,1,1,1,1,1,0,1,0,0,0,1,1
2025/8/15,1,1,1,1,1,0,1,0,0,1,1,1
2025/8/16,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/17,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/18,1,1,1,1,1,0,1,1,1,1,1,1
2025/8/19,1,1,1,1,1,0,1,1,1,0,1,1
2025/8/20,1,1,1,0,1,0,1,0,0,1,1,1
2025/8/21,1,1,1,1,1,0,1,0,0,0,1,1
2025/8/22,1,1,1,1,1,0,1,0,0,1,1,1
2025/8/23,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/24,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/25,1,1,1,1,1,0,1,1,1,1,1,1
2025/8/26,1,1,1,1,1,0,1,1,1,0,1,1
2025/8/27,1,1,1,0,1,0,1,0,0,1,1,1
2025/8/28,1,1,1,1,1,0,1,0,0,0,1,1
2025/8/29,1,1,1,1,1,0,1,0,0,1,1,1
2025/8/30,0,0,0,0,0,0,0,0,0,0,0,0
2025/8/31,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/1,1,1,1,1,1,0,1,1,1,1,1,1
2025/9/2,1,1,1,1,1,0,1,1,1,0,1,1
2025/9/3,1,1,1,0,1,0,1,0,0,1,1,1
2025/9/4,1,1,1,1,1,0,1,0,0,0,1,1
2025/9/5,1,1,1,1,1,0,1,0,0,1,1,1
2025/9/6,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/7,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/8,1,1,1,1,1,0,1,1,1,1,1,1
2025/9/9,1,1,1,1,1,0,1,1,1,0,1,1
2025/9/10,1,1,1,0,1,0,1,0,0,1,1,1
2025/9/11,1,1,1,1,1,0,1,0,0,0,1,1
2025/9/12,1,1,1,1,1,0,1,0,0,1,1,1
2025/9/13,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/14,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/15,1,1,1,1,1,0,1,1,1,0,1,1
2025/9/16,1,1,1,1,1,0,1,1,1,0,1,1
2025/9/17,1,1,1,0,1,0,1,0,0,1,1,1
2025/9/18,1,1,1,1,1,0,1,0,0,0,1,1
2025/9/19,1,1,1,1,1,0,1,0,0,1,1,1
2025/9/20,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/21,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/22,1,1,1,1,1,0,1,1,1,1,1,1
2025/9/23,1,1,1,1,1,0,1,1,1,0,1,1
2025/9/24,1,1,1,0,1,0,1,0,0,1,1,1
2025/9/25,1,1,1,1,1,0,1,0,0,0,1,1
2025/9/26,1,1,1,1,1,0,1,0,0,1,1,1
2025/9/27,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/28,0,0,0,0,0,0,0,0,0,0,0,0
2025/9/29,1,1,1,1,1,0,1,1,1,1,1,1
2025/9/30,1,1,1,1,1,0,1,1,1,0,1,1
2025/10/1,1,1,1,0,1,0,0,0,0,1,1,0
2025/10/2,1,1,1,1,1,0,0,0,0,0,1,0
2025/10/3,1,1,1,1,1,0,0,0,0,1,1,0
2025/10/4,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/5,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/6,1,1,1,1,1,0,0,1,1,1,1,0
2025/10/7,1,1,1,1,1,0,0,1,1,0,1,0
2025/10/8,1,1,1,0,1,0,0,0,0,1,1,0
2025/10/9,1,1,1,1,1,0,0,0,0,0,1,0
2025/10/10,1,1,1,1,1,0,0,0,0,1,1,0
2025/10/11,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/12,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/13,1,1,1,1,1,0,0,1,1,0,1,0
2025/10/14,1,1,1,1,1,0,0,1,1,0,1,0
2025/10/15,1,1,1,0,1,0,0,0,0,1,1,0
2025/10/16,1,1,1,1,1,0,0,0,0,0,1,0
2025/10/17,1,1,1,1,1,0,0,0,0,1,1,0
2025/10/18,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/19,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/20,1,1,1,1,1,0,0,1,1,1,1,0
2025/10/21,1,1,1,1,1,0,0,1,1,0,1,0
2025/10/22,1,1,1,0,1,0,0,0,0,1,1,0
2025/10/23,1,1,1,1,1,0,0,0,0,0,1,0
2025/10/24,1,1,1,1,1,0,0,0,0,1,1,0
2025/10/25,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/26,0,0,0,0,0,0,0,0,0,0,0,0
2025/10/27,1,1,1,1,1,0,0,1,1,1,1,0
2025/10/28,1,1,1,1,1,0,0,1,1,0,1,0
2025/10/29,1,1,1,0,1,0,0,0,0,1,1,0
2025/10/30,1,1,1,1,1,0,0,0,0,0,1,0
2025/10/31,1,1,1,1,1,0,0,0,0,1,1,0
2025/11/1,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/2,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/3,1,1,1,1,1,0,0,1,1,0,1,0
2025/11/4,1,1,1,1,1,0,0,1,1,0,1,0
2025/11/5,1,1,1,0,1,0,0,0,0,1,1,0
2025/11/6,1,1,1,1,1,0,0,0,0,0,1,0
2025/11/7,1,1,1,1,1,0,0,0,0,1,1,0
2025/11/8,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/9,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/10,1,1,1,1,1,0,0,1,1,1,1,0
2025/11/11,1,1,1,1,1,0,0,1,1,0,1,0
2025/11/12,1,1,1,0,1,0,0,0,0,1,1,0
2025/11/13,1,1,1,1,1,0,0,0,0,0,1,0
2025/11/14,1,1,1,1,1,0,0,0,0,1,1,0
2025/11/15,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/16,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/17,1,1,1,1,1,0,0,1,1,1,1,0
2025/11/18,1,1,1,1,1,0,0,1,1,0,1,0
2025/11/19,1,1,1,0,1,0,0,0,0,1,1,0
2025/11/20,1,1,1,1,1,0,0,0,0,0,1,0
2025/11/21,1,1,1,1,1,0,0,0,0,1,1,0
2025/11/22,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/23,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/24,1,1,1,1,1,0,0,1,1,0,1,0
2025/11/25,1,1,1,1,1,0,0,1,1,0,1,0
2025/11/26,1,1,1,0,1,0,0,0,0,1,1,0
2025/11/27,1,1,1,1,1,0,0,0,0,0,1,0
2025/11/28,1,1,1,1,1,0,0,0,0,1,1,0
2025/11/29,0,0,0,0,0,0,0,0,0,0,0,0
2025/11/30,0,0,0,0,0,0,0,0,0,0,0,0
2025/12/1,1,1,1,1,1,0,0,1,1,1,1,0
2025/12/2,1,1,1,1,1,0,0,1,1,0,1,0
2025/12/3,1,1,1,0,1,0,0,0,0,1,1,0
2025/12/4,1,1,1,1,1,0,0,0,0,0,1,0
2025/12/5,1,1,1,1,1,0,0,0,0,1,1,0
2025/12/6,0,0,0,0,0,0,0,0,0,0,0,0
2025/12/7,0,0,0,0,0,0,0,0,0,0,0,0
2025/12/8,1,1,1,1,1,0,0,1,1,1,1,0
2025/12/9,1,1,1,1,1,0,0,1,1,0,1,0
2025/12/10,1,1,1,0,1,0,0,0,0,1,1,0
2025/12/11,1,1,1,1,1,0,0,0,0,0,1,0
2025/12/12,1,1,1,1,1,0,0,0,0,1,1,0
2025/12/13,0,0,0,0,0,0,0,0,0,0,0,0
2025/12/14,0,0,0,0,0,0,0,0,0,0,0,0
2025/12/15,1,1,1,1,1,0,0,1,1,1,1,0
2025/12/16,1,1,1,1,1,0,0,1,1,0,1,0
2025/12/17,1,1,1,0,1,0,0,0,0,1,1,0
2025/12/18,1,1,1,1,1,0,0,0,0,0,1,0
2025/12/19,1,1,1,1,1,0,0,0,0,1,1,0
2025/12/20,0,0,0,0,0,0,0,0,0,0,0,0
2025/12/21,0,0,0,0,0,0,0,0,0,0,0,0
